Time,ECG
1607088721.7371,2238
1607088721.7375,3049
1607088721.7391,3527
1607088721.7410,4073
1607088721.7430,4523
1607088721.7451,4840
1607088721.7470,5283
1607088721.7491,5860
1607088721.7511,6365
1607088721.7531,6492
1607088721.7551,6110
1607088721.7570,5795
1607088721.7591,6026
1607088721.7616,6269
1607088721.7630,6216
1607088721.7650,6228
1607088721.7671,6322
1607088721.7691,6324
1607088721.7710,6317
1607088721.7730,6343
1607088721.7750,6343
1607088721.7771,6319
1607088721.7791,6302
1607088721.7811,6281
1607088721.7830,6245
1607088721.7851,6211
1607088721.7870,6180
1607088721.7890,6137
1607088721.7910,6093
1607088721.7930,6052
1607088721.7950,6007
1607088721.7970,5954
1607088721.7992,5908
1607088721.8010,5862
1607088721.8031,5812
1607088721.8050,5759
1607088721.8071,5716
1607088721.8081,5677
1607088721.8103,5634
1607088721.8120,5579
1607088721.8140,5533
1607088721.8161,5499
1607088721.8180,5456
1607088721.8200,5403
1607088721.8221,5357
1607088721.8240,5302
1607088721.8260,5228
1607088721.8280,5141
1607088721.8301,5050
1607088721.8320,4946
1607088721.8358,4845
1607088721.8362,4754
1607088721.8380,4677
1607088721.8400,4602
1607088721.8420,4533
1607088721.8441,4475
1607088721.8461,4424
1607088721.8481,4367
1607088721.8500,4309
1607088721.8520,4261
1607088721.8540,4217
1607088721.8561,4169
1607088721.8580,4119
1607088721.8600,4073
1607088721.8620,4030
1607088721.8640,3987
1607088721.8661,3941
1607088721.8680,3895
1607088721.8700,3854
1607088721.8720,3809
1607088721.8740,3763
1607088721.8760,3722
1607088721.8780,3681
1607088722.3072,3638
1607088722.3083,3592
1607088722.3106,3549
1607088722.3124,3510
1607088722.3143,3467
1607088722.3163,3426
1607088722.3184,3388
1607088722.3203,3354
1607088722.3223,3308
1607088722.3243,3256
1607088722.3263,3222
1607088722.3283,3195
1607088722.3303,3155
1607088722.3323,3114
1607088722.3343,3082
1607088722.3363,3049
1607088722.3384,3013
1607088722.3403,2979
1607088722.3423,2948
1607088722.3443,2912
1607088722.3464,2876
1607088722.3484,2844
1607088722.3503,2813
1607088722.3523,2782
1607088722.3542,2748
1607088722.3563,2719
1607088722.3583,2688
1607088722.3602,2657
1607088722.3625,2626
1607088722.3643,2597
1607088722.3664,2568
1607088722.3682,2532
1607088722.3702,2498
1607088722.3722,2472
1607088722.3742,2448
1607088722.3763,2416
1607088722.3783,2390
1607088722.3803,2361
1607088722.3822,2335
1607088722.3842,2306
1607088722.3862,2279
1607088722.3883,2255
1607088722.3902,2231
1607088722.3923,2205
1607088722.3942,2176
1607088722.3962,2149
1607088722.3982,2128
1607088722.4003,2104
1607088722.4022,2080
1607088722.4042,2058
1607088722.4062,2034
1607088722.4082,2007
1607088722.4102,1983
1607088722.4122,1959
1607088722.4142,1933
1607088722.4162,1906
1607088722.4182,1885
1607088722.4202,1878
1607088722.4222,1873
1607088722.4242,1856
1607088722.4262,1830
1607088722.4283,1805
1607088722.4302,1774
1607088722.4322,1741
1607088722.4342,1719
1607088722.4362,1702
1607088722.4382,1680
1607088722.4402,1661
1607088722.4422,1644
1607088722.4442,1628
1607088722.4463,1601
1607088722.4483,1563
1607088722.4502,1560
1607088722.8470,1697
1607088722.8483,1988
1607088722.8496,2265
1607088722.8514,2193
1607088722.8533,1654
1607088722.8553,1238
1607088722.8576,1351
1607088722.8594,1462
1607088722.8614,1325
1607088722.8633,1286
1607088722.8653,1327
1607088722.8674,1288
1607088722.8693,1260
1607088722.8713,1267
1607088722.8733,1257
1607088722.8753,1240
1607088722.8774,1236
1607088722.8793,1226
1607088722.8813,1212
1607088722.8833,1202
1607088722.8853,1195
1607088722.8874,1185
1607088722.8893,1178
1607088722.8913,1168
1607088722.8934,1151
1607088722.8953,1137
1607088722.8973,1135
1607088722.8993,1132
1607088722.9013,1123
1607088722.9033,1118
1607088722.9053,1118
1607088722.9073,1115
1607088722.9094,1115
1607088722.9113,1120
1607088722.9133,1120
1607088722.9153,1120
1607088722.9173,1123
1607088722.9193,1120
1607088722.9212,1115
1607088722.9232,1106
1607088722.9253,1086
1607088722.9275,1050
1607088722.9293,1002
1607088722.9313,949
1607088722.9333,899
1607088722.9352,858
1607088722.9373,827
1607088722.9392,800
1607088722.9412,779
1607088722.9442,764
1607088722.9453,755
1607088722.9473,747
1607088722.9493,738
1607088722.9513,731
1607088722.9533,723
1607088722.9553,714
1607088722.9573,707
1607088722.9596,702
1607088722.9613,697
1607088722.9633,692
1607088722.9652,685
1607088722.9673,678
1607088722.9692,673
1607088722.9713,668
1607088722.9732,661
1607088722.9753,656
1607088722.9775,651
1607088722.9793,639
1607088722.9813,627
1607088722.9833,625
1607088722.9853,618
1607088722.9874,610
1607088722.9893,601
1607088723.4171,593
1607088723.4181,589
1607088723.4205,581
1607088723.4232,574
1607088723.4252,567
1607088723.4272,560
1607088723.4291,545
1607088723.4311,531
1607088723.4331,529
1607088723.4351,526
1607088723.4371,519
1607088723.4391,514
1607088723.4412,507
1607088723.4431,502
1607088723.4450,497
1607088723.4471,495
1607088723.4491,490
1607088723.4510,478
1607088723.4531,468
1607088723.4550,466
1607088723.4571,464
1607088723.4591,459
1607088723.4610,452
1607088723.4630,449
1607088723.4651,444
1607088723.4670,437
1607088723.4690,430
1607088723.4710,425
1607088723.4731,423
1607088723.4751,416
1607088723.4771,406
1607088723.4791,404
1607088723.4810,404
1607088723.4830,399
1607088723.4850,391
1607088723.4873,389
1607088723.4891,384
1607088723.4912,379
1607088723.4930,377
1607088723.4950,375
1607088723.4970,370
1607088723.4990,363
1607088723.5011,358
1607088723.5030,355
1607088723.5050,351
1607088723.5071,346
1607088723.5090,341
1607088723.5110,339
1607088723.5131,336
1607088723.5150,329
1607088723.5170,324
1607088723.5190,319
1607088723.5210,315
1607088723.5231,310
1607088723.5251,305
1607088723.5271,303
1607088723.5291,300
1607088723.5311,295
1607088723.5330,288
1607088723.5350,281
1607088723.5370,274
1607088723.5391,266
1607088723.5411,269
1607088723.5430,281
1607088723.5450,295
1607088723.5470,293
1607088723.5491,286
1607088723.5510,276
1607088723.5530,262
1607088723.5552,250
1607088723.5571,247
1607088723.5590,247
1607088723.5610,242
1607088723.9575,235
1607088723.9585,233
1607088723.9610,230
1607088723.9635,216
1607088723.9655,194
1607088723.9676,211
1607088723.9696,367
1607088723.9716,670
1607088723.9736,945
1607088723.9756,865
1607088723.9775,351
1607088723.9795,-19
1607088723.9815,108
1607088723.9837,214
1607088723.9855,96
1607088723.9875,86
1607088723.9894,144
1607088723.9914,113
1607088723.9934,98
1607088723.9954,127
1607088723.9975,127
1607088723.9994,120
1607088724.0014,134
1607088724.0035,139
1607088724.0055,134
1607088724.0075,141
1607088724.0094,146
1607088724.0114,146
1607088724.0134,141
1607088724.0155,151
1607088724.0175,168
1607088724.0194,170
1607088724.0215,165
1607088724.0234,173
1607088724.0254,180
1607088724.0275,182
1607088724.0294,192
1607088724.0314,204
1607088724.0334,214
1607088724.0354,223
1607088724.0376,240
1607088724.0394,254
1607088724.0415,264
1607088724.0434,274
1607088724.0454,278
1607088724.0475,281
1607088724.0494,271
1607088724.0514,245
1607088724.0536,209
1607088724.0555,163
1607088724.0575,122
1607088724.0594,93
1607088724.0614,72
1607088724.0634,50
1607088724.0654,38
1607088724.0675,33
1607088724.0694,33
1607088724.0715,38
1607088724.0734,38
1607088724.0754,36
1607088724.0775,38
1607088724.0794,40
1607088724.0814,43
1607088724.0834,45
1607088724.0856,50
1607088724.0875,52
1607088724.0894,50
1607088724.0914,52
1607088724.0934,57
1607088724.0955,57
1607088724.0975,60
1607088724.0994,64
1607088724.1014,64
1607088724.5272,62
1607088724.5282,60
1607088724.5307,57
1607088724.5335,52
1607088724.5354,40
1607088724.5374,33
1607088724.5394,40
1607088724.5413,40
1607088724.5433,31
1607088724.5453,33
1607088724.5473,40
1607088724.5493,38
1607088724.5514,33
1607088724.5534,33
1607088724.5553,38
1607088724.5573,40
1607088724.5594,38
1607088724.5612,38
1607088724.5633,45
1607088724.5652,48
1607088724.5673,48
1607088724.5693,50
1607088724.5712,55
1607088724.5732,52
1607088724.5752,50
1607088724.5773,52
1607088724.5792,50
1607088724.5812,45
1607088724.5832,43
1607088724.5853,48
1607088724.5873,55
1607088724.5892,57
1607088724.5912,62
1607088724.5932,62
1607088724.5952,55
1607088724.5972,52
1607088724.5992,55
1607088724.6013,60
1607088724.6033,60
1607088724.6052,57
1607088724.6073,50
1607088724.6092,45
1607088724.6114,50
1607088724.6133,55
1607088724.6152,55
1607088724.6173,55
1607088724.6192,60
1607088724.6212,60
1607088724.6232,55
1607088724.6252,50
1607088724.6267,50
1607088724.6283,45
1607088724.6302,43
1607088724.6322,45
1607088724.6344,50
1607088724.6362,50
1607088724.6383,43
1607088724.6402,38
1607088724.6422,45
1607088724.6442,50
1607088724.6462,45
1607088724.6483,43
1607088724.6503,50
1607088724.6523,45
1607088724.6542,36
1607088724.6562,36
1607088724.6583,31
1607088724.6602,33
1607088724.6623,43
1607088724.6642,52
1607088724.6662,62
1607088724.6683,67
1607088724.6702,60
1607088725.1275,52
1607088725.1285,40
1607088725.1310,26
1607088725.1337,24
1607088725.1356,26
1607088725.1376,21
1607088725.1396,12
1607088725.1415,9
1607088725.1435,19
1607088725.1456,16
1607088725.1476,-7
1607088725.1496,21
1607088725.1516,202
1607088725.1535,521
1607088725.1556,781
1607088725.1575,634
1607088725.1595,79
1607088725.1615,-226
1607088725.1636,-36
1607088725.1655,62
1607088725.1677,-57
1607088725.1695,-52
1607088725.1715,4
1607088725.1735,-21
1607088725.1755,-28
1607088725.1775,-4
1607088725.1795,-9
1607088725.1816,-12
1607088725.1835,7
1607088725.1855,16
1607088725.1875,12
1607088725.1895,12
1607088725.1915,16
1607088725.1935,19
1607088725.1956,21
1607088725.1976,31
1607088725.1995,40
1607088725.2015,43
1607088725.2034,48
1607088725.2055,55
1607088725.2075,60
1607088725.2095,69
1607088725.2115,81
1607088725.2136,98
1607088725.2155,117
1607088725.2175,129
1607088725.2195,141
1607088725.2215,158
1607088725.2235,170
1607088725.2255,182
1607088725.2275,189
1607088725.2295,187
1607088725.2316,177
1607088725.2335,153
1607088725.2355,108
1607088725.2376,64
1607088725.2395,38
1607088725.2415,4
1607088725.2435,-28
1607088725.2457,-45
1607088725.2476,-52
1607088725.2495,-60
1607088725.2515,-64
1607088725.2535,-69
1607088725.2555,-69
1607088725.2575,-67
1607088725.2595,-67
1607088725.2615,-67
1607088725.2636,-67
1607088725.2655,-62
1607088725.2675,-52
1607088725.2697,-40
1607088725.2715,-40
1607088725.6669,-38
1607088725.6679,-28
1607088725.6704,-28
1607088725.6730,-31
1607088725.6750,-26
1607088725.6770,-26
1607088725.6790,-21
1607088725.6809,-14
1607088725.6829,-16
1607088725.6849,-24
1607088725.6869,-19
1607088725.6889,-21
1607088725.6909,-28
1607088725.6929,-24
1607088725.6950,-19
1607088725.6969,-21
1607088725.6989,-16
1607088725.7009,-12
1607088725.7029,-14
1607088725.7049,-16
1607088725.7069,-12
1607088725.7089,-7
1607088725.7109,-9
1607088725.7130,-7
1607088725.7149,-2
1607088725.7169,-4
1607088725.7189,-9
1607088725.7209,-4
1607088725.7229,0
1607088725.7249,2
1607088725.7269,7
1607088725.7291,9
1607088725.7309,7
1607088725.7329,2
1607088725.7349,4
1607088725.7369,14
1607088725.7389,12
1607088725.7408,7
1607088725.7429,9
1607088725.7450,9
1607088725.7469,9
1607088725.7489,12
1607088725.7509,16
1607088725.7529,12
1607088725.7549,9
1607088725.7569,9
1607088725.7589,12
1607088725.7609,16
1607088725.7630,16
1607088725.7650,14
1607088725.7669,14
1607088725.7689,16
1607088725.7708,19
1607088725.7728,16
1607088725.7749,12
1607088725.7768,4
1607088725.7790,2
1607088725.7809,7
1607088725.7829,16
1607088725.7849,14
1607088725.7869,12
1607088725.7889,12
1607088725.7909,4
1607088725.7929,-4
1607088725.7950,0
1607088725.7970,12
1607088725.7989,24
1607088725.8009,33
1607088725.8029,38
1607088725.8050,33
1607088725.8069,28
1607088725.8088,24
1607088725.8110,14
1607088726.2375,9
1607088726.2386,9
1607088726.2411,9
1607088726.2437,12
1607088726.2456,14
1607088726.2476,9
1607088726.2496,4
1607088726.2515,-12
1607088726.2535,12
1607088726.2555,197
1607088726.2575,536
1607088726.2596,788
1607088726.2615,606
1607088726.2635,31
1607088726.2655,-252
1607088726.2676,-52
1607088726.2695,21
1607088726.2715,-101
1607088726.2735,-81
1607088726.2756,-26
1607088726.2776,-57
1607088726.2795,-64
1607088726.2815,-36
1607088726.2835,-36
1607088726.2855,-40
1607088726.2875,-26
1607088726.2895,-14
1607088726.2918,-12
1607088726.2936,-12
1607088726.2955,-7
1607088726.2975,-2
1607088726.2996,-2
1607088726.3017,4
1607088726.3035,14
1607088726.3055,21
1607088726.3075,24
1607088726.3096,31
1607088726.3116,36
1607088726.3135,43
1607088726.3142,55
1607088726.3165,72
1607088726.3185,88
1607088726.3205,98
1607088726.3225,105
1607088726.3245,122
1607088726.3265,144
1607088726.3285,149
1607088726.3305,146
1607088726.3325,146
1607088726.3345,132
1607088726.3365,96
1607088726.3384,57
1607088726.3405,19
1607088726.3426,-19
1607088726.3445,-55
1607088726.3452,-81
1607088726.3475,-91
1607088726.3495,-96
1607088726.3515,-98
1607088726.3535,-88
1607088726.3555,-88
1607088726.3576,-93
1607088726.3596,-86
1607088726.3614,-84
1607088726.3635,-86
1607088726.3655,-72
1607088726.3675,-62
1607088726.3695,-64
1607088726.3715,-60
1607088726.3735,-50
1607088726.3756,-50
1607088726.3762,-50
1607088726.3785,-43
1607088726.7769,-38
1607088726.7779,-36
1607088726.7803,-33
1607088726.7830,-36
1607088726.7850,-33
1607088726.7872,-33
1607088726.7890,-36
1607088726.7909,-36
1607088726.7929,-36
1607088726.7949,-43
1607088726.7969,-48
1607088726.7988,-45
1607088726.8009,-45
1607088726.8029,-48
1607088726.8036,-45
1607088726.8060,-38
1607088726.8079,-33
1607088726.8098,-36
1607088726.8120,-33
1607088726.8138,-31
1607088726.8159,-26
1607088726.8179,-24
1607088726.8199,-24
1607088726.8219,-24
1607088726.8239,-19
1607088726.8258,-21
1607088726.8279,-19
1607088726.8299,-12
1607088726.8318,-12
1607088726.8338,-14
1607088726.8346,-14
1607088726.8369,-12
1607088726.8390,-4
1607088726.8408,-2
1607088726.8428,-2
1607088726.8448,-2
1607088726.8469,-7
1607088726.8490,-9
1607088726.8509,-2
1607088726.8528,-4
1607088726.8549,-14
1607088726.8570,-12
1607088726.8588,-7
1607088726.8608,-4
1607088726.8628,-7
1607088726.8648,-7
1607088726.8656,-7
1607088726.8679,-4
1607088726.8698,-4
1607088726.8721,-4
1607088726.8739,-4
1607088726.8758,-2
1607088726.8779,0
1607088726.8799,-2
1607088726.8818,0
1607088726.8839,2
1607088726.8860,2
1607088726.8879,2
1607088726.8899,4
1607088726.8918,4
1607088726.8938,4
1607088726.8946,4
1607088726.8969,4
1607088726.8988,0
1607088726.9008,-2
1607088726.9028,-2
1607088726.9049,2
1607088726.9070,16
1607088726.9089,31
1607088726.9108,26
1607088726.9128,19
1607088726.9148,9
1607088726.9168,-4
1607088727.3171,-9
1607088727.3182,-7
1607088727.3199,-4
1607088727.3223,-4
1607088727.3243,-2
1607088727.3262,-2
1607088727.3283,-9
1607088727.3303,-26
1607088727.3322,-40
1607088727.3342,16
1607088727.3362,226
1607088727.3382,550
1607088727.3401,764
1607088727.3421,545
1607088727.3441,2
1607088727.3463,-202
1607088727.3482,-14
1607088727.3501,4
1607088727.3509,-105
1607088727.3533,-72
1607088727.3552,-33
1607088727.3572,-62
1607088727.3591,-62
1607088727.3611,-38
1607088727.3631,-40
1607088727.3652,-38
1607088727.3673,-28
1607088727.3692,-26
1607088727.3711,-26
1607088727.3732,-21
1607088727.3751,-14
1607088727.3772,-12
1607088727.3791,-12
1607088727.3811,-9
1607088727.3820,-4
1607088727.3842,2
1607088727.3862,9
1607088727.3882,16
1607088727.3901,24
1607088727.3921,36
1607088727.3941,50
1607088727.3961,57
1607088727.3982,69
1607088727.4001,88
1607088727.4022,105
1607088727.4043,117
1607088727.4061,129
1607088727.4082,141
1607088727.4101,146
1607088727.4121,146
1607088727.4129,134
1607088727.4151,108
1607088727.4172,72
1607088727.4192,26
1607088727.4211,-9
1607088727.4231,-33
1607088727.4251,-52
1607088727.4272,-67
1607088727.4292,-76
1607088727.4311,-81
1607088727.4331,-84
1607088727.4352,-81
1607088727.4373,-76
1607088727.4392,-72
1607088727.4411,-69
1607088727.4431,-67
1607088727.4438,-62
1607088727.4462,-55
1607088727.4482,-52
1607088727.4501,-48
1607088727.4522,-43
1607088727.4542,-40
1607088727.4561,-36
1607088727.8871,-31
1607088727.8881,-28
1607088727.8905,-24
1607088727.8932,-26
1607088727.8952,-38
1607088727.8972,-38
1607088727.8991,-31
1607088727.9012,-31
1607088727.9018,-33
1607088727.9041,-28
1607088727.9061,-26
1607088727.9081,-26
1607088727.9102,-26
1607088727.9121,-24
1607088727.9140,-19
1607088727.9161,-19
1607088727.9182,-21
1607088727.9201,-19
1607088727.9221,-14
1607088727.9241,-16
1607088727.9260,-16
1607088727.9281,-14
1607088727.9301,-14
1607088727.9322,-12
1607088727.9335,-16
1607088727.9351,-21
1607088727.9371,-19
1607088727.9390,-12
1607088727.9410,-12
1607088727.9430,-9
1607088727.9450,-7
1607088727.9470,-7
1607088727.9493,-4
1607088727.9511,-2
1607088727.9530,-2
1607088727.9550,-2
1607088727.9570,0
1607088727.9590,4
1607088727.9610,4
1607088727.9630,2
1607088727.9650,2
1607088727.9671,7
1607088727.9690,9
1607088727.9710,7
1607088727.9730,9
1607088727.9750,14
1607088727.9770,14
1607088727.9791,12
1607088727.9812,12
1607088727.9831,14
1607088727.9850,9
1607088727.9870,7
1607088727.9890,9
1607088727.9910,12
1607088727.9930,7
1607088727.9950,7
1607088727.9970,14
1607088727.9991,14
1607088728.0011,7
1607088728.0030,4
1607088728.0051,9
1607088728.0070,12
1607088728.0090,14
1607088728.0112,14
1607088728.0131,14
1607088728.0150,14
1607088728.0171,14
1607088728.0191,16
1607088728.0210,16
1607088728.0230,14
1607088728.0250,7
1607088728.0333,7
1607088728.0351,14
1607088728.4888,33
1607088728.4897,45
1607088728.4922,38
1607088728.4948,28
1607088728.4968,19
1607088728.4988,-2
1607088728.5008,-12
1607088728.5028,-4
1607088728.5048,-2
1607088728.5068,-9
