time,gsr
1.601637926755800009e+09,3.446176976920500010e+02
1.601637926825500011e+09,3.445879422893252126e+02
1.601637926915499926e+09,3.445508871274983562e+02
1.601637927035500050e+09,3.445066487230753864e+02
1.601637927125699997e+09,3.444694450027033668e+02
1.601637927297800064e+09,3.444393633537617347e+02
1.601637927365499973e+09,3.444164911636300985e+02
1.601637927455399990e+09,3.444009158196879525e+02
1.601637927575500011e+09,3.443927247093147912e+02
1.601637927695499897e+09,3.443920052198901089e+02
1.601637927865600109e+09,3.443988447387934571e+02
1.601637927935400009e+09,3.443977290932483584e+02
1.601637927995699883e+09,3.444028470807752456e+02
1.601637928115600109e+09,3.444142569596272097e+02
1.601637928235599995e+09,3.444320169880572280e+02
1.601637928325799942e+09,3.444561854243183348e+02
1.601637928527699947e+09,3.444882915475520235e+02
1.601637928535399914e+09,3.445142630767437595e+02
1.601637928655499935e+09,3.445482596802876287e+02
1.601637928775500059e+09,3.445903104873100915e+02
1.601637929000200033e+09,3.446404446269376081e+02
1.601637929000699997e+09,3.446986912282968092e+02
1.601637929075500011e+09,3.447650794205140414e+02
1.601637929195400000e+09,3.448396383327159356e+02
1.601637929315500021e+09,3.449067955338729234e+02
1.601637929405600071e+09,3.449806815632525741e+02
1.601637929569900036e+09,3.450612964208547737e+02
1.601637929615499973e+09,3.451330385465236645e+02
1.601637929735500097e+09,3.452100093504001279e+02
1.601637929855499983e+09,3.452921797033577604e+02
1.601637929945499897e+09,3.453639189161139598e+02
1.601637930109600067e+09,3.454392992696833176e+02
1.601637930185400009e+09,3.455182625058127428e+02
1.601637930275500059e+09,3.455851488060932297e+02
1.601637930395499945e+09,3.456540013224128529e+02
1.601637930485599995e+09,3.457247326673919474e+02
1.601637930687799931e+09,3.457972554536511325e+02
1.601637930725500107e+09,3.458856128330784259e+02
1.601637930815399885e+09,3.459585434271087365e+02
1.601637930935400009e+09,3.460300903876300254e+02
1.601637931025500059e+09,3.461142968665303670e+02
1.601637931227299929e+09,3.462096335846681541e+02
1.601637931265599966e+09,3.463146003920285239e+02
1.601637931355400085e+09,3.464135957284553342e+02
1.601637931475399971e+09,3.465207501332161542e+02
1.601637931565500021e+09,3.466346217145489845e+02
1.601637931827600002e+09,3.467396671705508879e+02
1.601637931828099966e+09,3.468500752987422970e+02
1.601637931895499945e+09,3.469503319263468484e+02
1.601637932015399933e+09,3.470405244407438090e+02
1.601637932135499954e+09,3.471348707685805266e+02
1.601637932225500107e+09,3.472178858662067569e+02
1.601637932395600080e+09,3.472896862501286250e+02
1.601637932465399981e+09,3.473503884368521426e+02
1.601637932555399895e+09,3.474001089428833211e+02
1.601637932675499916e+09,3.474530948239957411e+02
1.601637932765599966e+09,3.474938901656657890e+02
1.601637932935899973e+09,3.475226406135261072e+02
1.601637932975399971e+09,3.475550933733652528e+02
1.601637933095499992e+09,3.475772926806745886e+02
1.601637933216599941e+09,3.475894133102132741e+02
1.601637933305500031e+09,3.475916300367403551e+02
1.601637933475699902e+09,3.475841176350147066e+02
1.601637933515399933e+09,3.475670508797954881e+02
