,hr,rr
1605961170.5434,77.0,801.0
1605961171.5553,77.0,806.0
1605961172.5235,77.0,839.0
1605961173.5434,76.0,871.0
1605961174.5335,75.0,843.0
1605961175.5232,75.0,833.0
1605961176.6245,75.0,828.0
1605961177.5334,75.0,831.0
1605961178.5235,75.0,785.0
1605961179.5431,75.0,789.0
1605961180.5331,75.0,808.0
1605961181.6641,75.0,826.0
1605961182.5433,75.0,831.0
1605961183.5331,75.0,817.0
1605961184.523,75.0,810.0
1605961185.5926,75.0,805.0
1605961186.5335,75.0,805.0
1605961187.523,75.0,800.0
1605961188.543,75.0,811.0
1605961189.5325,75.0,829.0
1605961190.6619,75.0,847.0
1605961191.5419,75.0,819.0
1605961192.531,75.0,804.0
1605961193.5205,75.0,799.0
1605961194.5701,75.0,779.0
1605961195.56,76.0,761.0
1605961196.5195,76.0,767.0
1605961197.539,77.0,800.0
1605961198.5286,77.0,794.0
1605961199.6289,77.0,776.0
1605961200.5383,77.0,733.0
1605961201.528,79.0,703.0
1605961202.5175,80.0,665.0
1605961203.5374,82.0,660.0
1605961204.6461,85.0,653.0
1605961205.517,86.0,654.0
1605961206.5668,88.0,655.0
1605961207.5265,88.0,686.0
1605961208.5678,89.0,702.0
1605961209.5363,88.0,713.0
1605961210.5261,88.0,718.0
1605961211.5158,88.0,738.0
1605961212.5357,87.0,756.0
1605961213.6655,86.0,772.0
1605961214.5155,84.0,770.0
1605961215.5355,84.0,727.0
1605961216.5252,84.0,730.0
1605961217.5343,84.0,759.0
1605961218.6449,83.0,755.0
1605961219.5249,83.0,816.0
1605961220.5147,82.0,830.0
1605961221.5046,82.0,843.0
1605961222.6027,80.0,865.0
1605961223.5146,79.0,828.0
1605961224.5044,78.0,803.0
1605961225.5242,78.0,772.0
1605961226.5354,78.0,750.0
1605961227.6435,79.0,740.0
1605961228.5543,79.0,721.0
1605961229.5441,80.0,714.0
1605961230.5039,81.0,708.0
1605961231.5751,82.0,727.0
1605961232.515,82.0,741.0
1605961233.5038,82.0,766.0
1605961234.5237,82.0,813.0
1605961235.5136,81.0,822.0
1605961236.6426,80.0,807.0
1605961237.5238,80.0,743.0
1605961238.5136,80.0,735.0
1605961239.5035,81.0,737.0
1605961240.5447,81.0,762.0
1605961241.5138,81.0,762.0
