,hr,rr,ecg,gsr,temperature
1602586130.2753,58.0,1108.0,55.0,301.0,33.56
1602586130.277,58.0,1108.0,155.0,301.0,33.56
1602586130.2784,58.0,1108.0,1191.0,301.0,33.56
1602586130.2794,58.0,1108.0,3832.0,301.0,33.56
1602586130.2803,58.0,1108.0,6514.0,301.0,33.56
1602586130.2812,58.0,1108.0,7925.0,301.0,33.56
1602586130.2821,58.0,1108.0,9061.0,301.0,33.56
1602586130.2832,58.0,1108.0,10360.0,301.0,33.56
1602586130.2844,58.0,1108.0,11281.0,301.0,33.56
1602586130.2855,58.0,1108.0,11980.0,301.0,33.56
1602586130.2864,58.0,1108.0,12738.0,301.0,33.56
1602586130.2874,58.0,1108.0,13361.0,301.0,33.56
1602586130.2881,58.0,1108.0,13811.0,301.0,33.56
1602586130.2888,58.0,1108.0,14279.0,301.0,33.56
1602586130.2894,58.0,1108.0,14722.0,301.0,33.56
1602586130.29,58.0,1108.0,15046.0,301.0,33.56
1602586130.2907,58.0,1108.0,15338.0,301.0,33.56
1602586130.2913,58.0,1108.0,15642.0,301.0,33.56
1602586130.2919,58.0,1108.0,15894.0,301.0,33.56
1602586130.2926,58.0,1108.0,16098.0,301.0,33.56
1602586130.2932,58.0,1108.0,16304.0,301.0,33.56
1602586130.2939,58.0,1108.0,16493.0,301.0,33.56
1602586130.2946,58.0,1108.0,16632.0,301.0,33.56
1602586130.2952,58.0,1108.0,16745.0,301.0,33.56
1602586130.2959,58.0,1108.0,16862.0,301.0,33.56
1602586130.2965,58.0,1108.0,16985.0,301.0,33.56
1602586130.297,58.0,1108.0,17078.0,301.0,33.56
1602586130.2975,58.0,1108.0,17136.0,301.0,33.56
1602586130.298,58.0,1108.0,17193.0,301.0,33.56
1602586130.2985,58.0,1108.0,17258.0,301.0,33.56
1602586130.299,58.0,1108.0,17306.0,301.0,33.56
1602586130.2997,58.0,1108.0,17346.0,301.0,33.56
1602586130.3003,58.0,1108.0,17378.0,301.0,33.56
1602586130.3008,58.0,1108.0,17373.0,301.0,33.56
1602586130.3013,58.0,1108.0,17363.0,301.0,33.56
1602586130.3018,58.0,1108.0,17370.0,301.0,33.56
1602586130.3023,58.0,1108.0,17378.0,301.0,33.56
