Time,HR,RR
1602586325.9915,57,1159
1602586326.9812,57,1109
1602586328.0006,56,1013
1602586328.9899,57,1109
1602586329.9813,57,1156
1602586331.0010,57,nan
1602586331.9911,56,1048
1602586332.9806,56,1113
1602586334.0008,56,1193
1602586334.9911,56,1154
1602586336.0110,56,1187
1602586337.0008,55,1208
1602586337.9897,55,nan
1602586338.9810,55,1193
1602586340.0010,55,1142
1602586340.9898,54,1201
1602586341.9796,54,1226
1602586343.0091,54,1154
1602586343.9900,54,1144
1602586344.9799,54,1154
1602586345.9995,54,459
1602586347.0191,54,772
1602586347.9801,54,735
1602586348.9999,55,689
1602586349.9896,56,673
1602586350.9790,58,655
1602586352.0051,65,642
1602586352.9895,68,644
1602586353.9795,76,634
1602586354.9992,86,631
1602586355.9884,88,622
1602586356.9793,90,638
1602586357.9993,91,637
1602586358.9891,93,680
1602586359.9787,92,688
1602586361.0288,91,675
1602586361.9890,91,667
1602586362.9789,91,731
1602586363.9992,90,892
1602586364.9878,85,1004
1602586365.9787,79,1087
1602586366.9988,73,1142
1602586367.9886,69,1179
1602586369.0082,68,1129
1602586369.9975,66,1008
1602586370.9886,65,895
1602586371.9785,65,1088
1602586372.9980,65,1144
1602586373.9872,64,943
1602586374.9785,64,907
1602586375.9983,64,1116
1602586376.9880,64,1197
1602586377.9777,64,nan
1602586379.0153,61,1211
1602586379.9880,60,1143
1602586380.9778,60,945
1602586381.9975,61,832
1602586382.9869,62,731
1602586383.9782,64,712
1602586384.9977,68,729
1602586385.9877,70,756
1602586386.9772,71,784
1602586388.0162,72,790
1602586388.9877,72,875
1602586389.9777,72,1100
1602586390.9971,72,1103
1602586392.0169,70,995
1602586392.9777,69,1036
1602586393.9975,68,975
1602586394.9873,67,838
1602586395.9773,67,804
1602586396.9962,68,1033
1602586397.9874,68,1121
1602586398.9775,67,994
1602586399.9971,66,1186
1602586400.9860,65,1053
1602586402.0064,65,nan
1602586402.9966,64,1334
1602586403.9868,63,1280
1602586404.9770,61,1135
1602586405.9955,60,1194
1602586406.9864,60,1112
1602586407.9766,59,1257
1602586408.9965,59,nan
1602586409.9853,58,1220
1602586410.9761,57,1152
1602586411.9961,57,1263
1602586412.9860,56,1202
1602586413.9755,56,1153
1602586414.9949,55,1195
1602586415.9857,55,1180
1602586416.9765,55,nan
1602586418.0259,55,1110
1602586418.9851,55,1134
1602586419.9754,55,1166
1602586420.9955,54,1120
1602586421.9854,54,1121
1602586422.9751,54,1133
1602586423.9950,54,1161
1602586424.9852,54,1132
1602586425.9753,54,1097
1602586426.9950,54,nan
1602586427.9846,54,1143
1602586428.9752,54,1069
1602586429.9950,55,1234
1602586430.9850,54,1195
1602586431.9746,54,1136
1602586432.9940,54,1186
1602586433.9851,54,1112
1602586435.0051,54,nan
1602586435.9944,54,1174
1602586436.9842,54,1227
1602586437.9750,54,1220
1602586438.9948,53,1182
1602586439.9844,53,1189
1602586440.9740,53,1175
1602586441.9934,53,1177
1602586443.0146,53,nan
1602586443.9746,53,1190
1602586444.9938,53,1129
1602586445.9835,53,1124
1602586447.0178,53,1182
1602586447.9944,53,1089
1602586448.9849,53,1177
1602586449.9739,53,1187
1602586450.9932,53,1170
1602586451.9848,53,nan
1602586452.9743,53,1119
1602586453.9940,53,1154
1602586454.9835,53,1154
1602586456.0186,53,1086
1602586456.9942,54,1072
1602586457.9839,54,861
1602586458.9730,55,779
1602586459.9925,57,844
1602586460.9839,59,1015
1602586461.9733,60,891
1602586462.9931,60,823
1602586463.9828,62,980
1602586464.9731,62,902
1602586465.9930,63,963
1602586466.9830,63,917
1602586468.0029,63,977
1602586468.9922,64,944
1602586469.9829,64,884
1602586470.9727,64,884
1602586471.9926,65,880
1602586472.9823,65,993
1602586473.9897,65,1151
1602586474.9925,64,1129
1602586475.9824,63,1036
1602586476.9720,63,1166
1602586477.9917,62,1140
1602586478.9824,61,871
1602586479.9723,65,696
1602586480.9921,67,652
1602586481.9818,75,631
1602586482.9893,87,613
1602586483.9919,88,608
1602586484.9818,92,595
1602586485.9715,95,597
1602586486.9911,98,593
1602586487.9818,99,596
1602586488.9717,101,594
1602586489.9917,101,603
1602586490.9812,101,602
1602586492.0184,102,599
1602586492.9918,102,598
1602586493.9813,102,600
1602586494.9710,102,704
1602586495.9906,100,818
1602586496.9813,93,879
1602586497.9714,85,896
1602586498.9910,80,931
1602586499.9805,77,1006
1602586500.9700,76,830
1602586501.9912,75,759
1602586502.9812,75,976
1602586503.9706,75,875
1602586504.9603,74,950
1602586505.9811,73,979
1602586506.9709,72,989
1602586507.9609,71,943
1602586508.9801,70,781
1602586509.9880,72,729
1602586510.9608,75,668
1602586511.9808,80,653
1602586512.9701,81,660
1602586513.9596,83,659
1602586515.0235,84,745
1602586515.9705,84,822
1602586516.9613,84,1040
1602586517.9802,74,1036
