Time,HR,RR
1606922298.9560,62,976
1606922299.9160,62,1052
1606922301.0541,62,1070
1606922301.9238,61,924
1606922302.9137,61,898
1606922303.9337,62,992
1606922304.9530,62,1009
1606922306.0558,62,991
1606922306.9338,62,1059
1606922307.9237,62,965
1606922308.9136,62,853
1606922309.9931,62,943
1606922310.9238,63,1069
1606922311.9138,63,1024
1606922312.9337,62,1047
1606922313.9237,62,1077
1606922315.0628,62,998
1606922315.9338,62,1000
1606922316.9537,62,1014
1606922317.9437,61,935
1606922318.9578,62,910
1606922319.9238,62,891
1606922320.9137,63,894
1606922321.9637,64,887
1606922322.9235,64,786
1606922324.0027,66,845
1606922324.9337,67,792
1606922325.9237,67,873
1606922326.9136,68,792
1606922327.9550,69,913
1606922329.0707,69,1022
1606922329.9139,68,877
1606922330.9337,68,838
1606922331.9236,69,794
1606922332.9626,70,793
1606922333.9345,71,783
1606922334.9236,71,789
1606922335.9136,72,853
1606922336.9335,72,942
1606922338.0635,72,883
1606922338.9143,71,878
1606922339.9637,71,858
1606922340.9235,71,848
1606922341.9652,71,918
1606922342.9339,71,969
1606922343.9238,70,921
1606922344.9135,70,981
1606922345.9335,69,1020
1606922347.0028,69,907
1606922347.9138,68,891
1606922348.9638,68,926
1606922349.9535,68,859
1606922350.9435,68,957
1606922351.9338,68,1022
1606922352.9237,67,817
1606922353.9136,67,740
1606922354.9335,69,717
1606922356.0025,70,856
1606922356.9137,71,1087
1606922357.9336,70,951
1606922358.9237,69,1049
1606922359.9135,68,924
1606922361.0128,67,969
1606922361.9246,67,1027
1606922362.9135,66,966
1606922363.9935,66,945
1606922364.9717,66,1043
1606922365.9138,65,1009
1606922366.9336,65,969
1606922367.9235,64,1020
1606922368.9134,64,986
1606922370.0418,64,894
1606922370.9236,64,957
1606922371.9137,64,992
1606922372.9334,64,922
1606922373.9234,64,953
1606922374.9145,64,982
1606922375.9337,64,913
1606922376.9235,65,1028
1606922377.9134,65,915
1606922378.9858,64,961
1606922379.9239,65,1004
1606922380.9135,64,905
1606922381.9334,64,934
1606922382.9534,65,967
1606922384.0234,65,914
1606922384.9336,65,976
1606922385.9235,65,1076
1606922386.9134,64,984
1606922387.9543,64,1006
1606922388.9237,64,1063
1606922389.9137,63,968
1606922390.9334,63,989
1606922391.9234,63,981
1606922393.0246,63,906
1606922393.9336,64,918
1606922394.9235,64,932
1606922395.9134,64,945
1606922396.9334,64,891
1606922398.0348,65,840
1606922398.9136,66,721
1606922399.9336,68,778
1606922400.9235,69,927
1606922402.0627,70,919
1606922402.9337,70,816
1606922403.9236,70,847
1606922404.9146,70,789
1606922405.9336,72,793
1606922407.0339,72,787
1606922407.9138,74,682
1606922408.9336,78,671
1606922409.9236,79,680
1606922410.9622,80,923
1606922411.9340,80,963
1606922412.9236,78,989
1606922413.9136,76,940
1606922414.9335,75,763
1606922416.0953,76,791
1606922416.9437,76,920
1606922417.9336,76,984
1606922418.9236,74,956
1606922419.9323,73,860
1606922421.0434,73,875
1606922421.9537,73,nan
1606922422.9135,72,874
1606922423.9334,72,924
1606922425.0337,72,1047
1606922425.9136,71,1055
1606922426.9336,69,1028
1606922427.9234,68,1060
1606922428.9331,67,1044
1606922430.0449,67,1008
1606922430.9239,66,1035
1606922431.9135,65,1067
1606922432.9334,65,982
1606922433.9726,64,1013
1606922434.9139,63,951
1606922435.9334,63,932
1606922436.9234,63,917
1606922437.9134,64,825
1606922439.0426,64,831
1606922439.9235,65,996
1606922440.9134,66,1059
1606922441.9334,65,1055
1606922442.9432,64,959
1606922443.9140,64,1016
1606922444.9335,64,1049
1606922445.9234,63,964
1606922446.9133,63,1003
1606922448.0135,63,999
1606922448.9538,63,927
1606922449.9434,64,871
1606922450.9334,64,1002
1606922451.9530,64,911
1606922453.0542,64,951
1606922453.9335,64,1052
1606922454.9234,64,990
1606922455.9133,63,986
1606922456.9841,63,1033
1606922457.9235,63,995
1606922458.9134,63,932
1606922459.9335,63,959
1606922460.9234,63,978
1606922461.9948,63,951
1606922462.9335,63,1016
1606922463.9235,63,1039
1606922464.9134,63,949
1606922465.9860,63,819
1606922466.9237,64,745
1606922467.9135,65,798
1606922468.9333,67,899
1606922469.9234,67,976
1606922470.9946,67,1111
1606922471.9334,66,1049
1606922472.9233,65,1032
1606922473.9134,65,1045
1606922474.9826,64,1034
1606922475.9237,64,1004
1606922476.9133,63,1014
1606922477.9335,63,887
1606922478.9233,63,860
1606922479.9924,64,921
1606922480.9334,65,1020
1606922481.9534,64,953
1606922482.9432,64,1039
1606922483.9332,64,1124
1606922485.0045,63,1025
1606922485.9134,63,1091
1606922486.9333,62,1051
1606922487.9232,62,1016
1606922488.9939,62,1015
1606922489.9334,61,1061
1606922490.9234,61,994
1606922491.9132,61,1030
1606922492.9332,61,1003
1606922494.0634,61,1063
1606922494.9136,61,1034
1606922495.9332,61,1033
1606922496.9232,60,1069
1606922497.9337,60,1058
1606922499.0741,60,1037
1606922499.9534,60,854
1606922500.9132,61,886
1606922501.9632,62,946
1606922503.0644,62,875
1606922503.9434,63,918
1606922504.9332,63,1033
1606922505.9233,63,1037
1606922506.9334,63,879
1606922508.0148,64,717
1606922508.9234,66,734
1606922509.9132,68,837
1606922510.9331,69,996
1606922511.9461,69,991
1606922512.9136,68,999
1606922513.9334,68,1067
1606922514.9532,67,1075
1606922515.9432,66,974
1606922517.0143,65,996
1606922517.9233,65,1003
1606922518.9132,65,909
1606922519.9332,65,930
1606922520.9447,65,966
1606922522.0526,65,975
1606922522.9336,65,918
1606922523.9233,65,938
1606922524.9132,65,1093
1606922525.9670,64,1105
1606922526.9235,64,1001
1606922527.9134,63,1029
1606922528.9333,63,919
1606922529.9233,63,911
1606922531.0251,63,946
1606922531.9334,63,988
1606922532.9233,63,935
