,ecg
1607170573.2902,789.0
1607170573.2923,815.0
1607170573.2942,1011.0
1607170573.2962,1553.0
1607170573.2982,2207.0
1607170573.3002,2239.0
1607170573.3022,1363.0
1607170573.3042,287.0
1607170573.3062,-21.0
1607170573.3083,386.0
1607170573.3103,632.0
1607170573.3122,608.0
1607170573.3142,673.0
1607170573.3162,721.0
1607170573.3182,687.0
1607170573.3203,690.0
1607170573.3222,716.0
1607170573.3243,711.0
1607170573.3264,709.0
1607170573.3283,719.0
1607170573.3302,721.0
1607170573.3322,723.0
1607170573.3342,733.0
1607170573.3362,740.0
1607170573.3383,748.0
1607170573.3402,752.0
1607170573.3423,757.0
1607170573.3442,769.0
1607170573.3462,784.0
1607170573.3483,801.0
1607170573.3502,822.0
1607170573.3522,842.0
1607170573.3542,863.0
1607170573.3562,890.0
1607170573.3583,924.0
1607170573.3603,960.0
1607170573.3623,1001.0
1607170573.3642,1035.0
1607170573.3664,1059.0
1607170573.3683,1066.0
1607170573.3703,1054.0
1607170573.3722,1013.0
1607170573.3742,931.0
1607170573.3763,813.0
1607170573.3783,685.0
1607170573.3802,567.0
1607170573.3822,465.0
1607170573.7475,388.0
1607170573.7484,340.0
1607170573.7509,311.0
1607170573.7536,291.0
1607170573.7554,284.0
1607170573.7576,284.0
1607170573.7597,287.0
1607170573.7615,287.0
1607170573.7634,291.0
1607170573.7655,304.0
1607170573.7675,308.0
1607170573.7694,306.0
1607170573.7714,308.0
1607170573.7734,320.0
1607170573.7755,328.0
1607170573.7775,330.0
1607170573.7794,335.0
1607170573.7814,342.0
1607170573.7834,345.0
1607170573.7854,345.0
1607170573.7874,347.0
1607170573.7894,347.0
1607170573.7916,347.0
1607170573.7934,345.0
1607170573.7954,342.0
1607170573.7975,340.0
1607170573.7995,340.0
1607170573.8014,335.0
1607170573.8034,332.0
1607170573.8054,332.0
1607170573.8075,330.0
1607170573.8094,330.0
1607170573.8115,332.0
1607170573.8134,330.0
1607170573.8154,328.0
1607170573.8175,328.0
1607170573.8194,330.0
1607170573.8214,330.0
1607170573.8234,330.0
1607170573.8255,328.0
1607170573.8275,328.0
1607170573.8294,328.0
1607170573.8316,328.0
1607170573.8334,330.0
1607170573.8354,330.0
1607170573.8375,328.0
1607170573.8394,328.0
1607170573.8414,325.0
1607170573.8435,328.0
1607170573.8454,328.0
1607170573.8475,328.0
1607170573.8494,328.0
1607170573.8514,328.0
1607170573.8534,325.0
1607170573.8554,325.0
1607170573.8574,325.0
1607170573.8595,320.0
1607170573.8614,318.0
1607170573.8634,316.0
1607170573.8654,318.0
1607170573.8675,318.0
1607170573.8694,318.0
1607170573.8714,318.0
1607170573.8734,318.0
1607170573.8755,316.0
1607170573.8775,316.0
1607170573.8794,313.0
1607170573.8814,313.0
1607170573.8834,313.0
1607170573.8854,313.0
1607170573.8875,311.0
1607170573.8894,308.0
1607170573.8915,304.0
1607170574.3487,299.0
1607170574.3501,299.0
1607170574.3525,301.0
1607170574.3551,299.0
1607170574.3571,289.0
1607170574.3592,279.0
1607170574.3613,279.0
1607170574.3631,284.0
1607170574.3651,282.0
1607170574.3671,279.0
1607170574.369,277.0
1607170574.371,275.0
1607170574.373,272.0
1607170574.3751,272.0
1607170574.3771,267.0
1607170574.379,263.0
1607170574.381,260.0
1607170574.383,263.0
1607170574.385,265.0
1607170574.3871,263.0
1607170574.3892,263.0
1607170574.3911,263.0
1607170574.393,263.0
1607170574.395,265.0
1607170574.397,263.0
1607170574.399,263.0
1607170574.401,263.0
1607170574.4029,260.0
1607170574.4051,258.0
1607170574.4065,260.0
1607170574.408,265.0
1607170574.4101,263.0
1607170574.4121,260.0
1607170574.414,260.0
1607170574.416,260.0
1607170574.418,258.0
1607170574.4201,255.0
1607170574.422,253.0
1607170574.424,253.0
1607170574.4261,267.0
1607170574.428,284.0
1607170574.43,294.0
1607170574.432,294.0
1607170574.434,289.0
1607170574.436,277.0
1607170574.438,255.0
1607170574.44,238.0
1607170574.4421,241.0
1607170574.4441,243.0
1607170574.446,246.0
1607170574.4479,246.0
1607170574.4499,241.0
1607170574.452,229.0
1607170574.454,217.0
1607170574.456,253.0
1607170574.458,482.0
1607170574.46,1059.0
1607170574.462,1713.0
1607170574.464,1727.0
1607170574.466,825.0
1607170574.468,-275.0
1607170574.47,-533.0
1607170574.472,-60.0
1607170574.474,173.0
1607170574.476,115.0
1607170574.478,176.0
1607170574.4801,226.0
1607170574.482,197.0
1607170574.484,209.0
1607170574.486,238.0
1607170574.488,236.0
1607170574.4903,241.0
1607170574.4921,258.0
1607170574.9184,265.0
1607170574.9193,270.0
1607170574.9218,279.0
1607170574.9245,291.0
1607170574.9265,304.0
1607170574.9283,316.0
1607170574.9303,330.0
1607170574.9323,342.0
1607170574.9343,359.0
1607170574.9363,374.0
1607170574.9383,388.0
1607170574.9404,415.0
1607170574.9424,448.0
1607170574.9443,480.0
1607170574.9463,516.0
1607170574.9483,559.0
1607170574.9503,603.0
1607170574.9522,639.0
1607170574.9543,668.0
1607170574.9563,685.0
1607170574.9583,678.0
1607170574.9603,637.0
1607170574.9623,557.0
1607170574.9642,451.0
1607170574.9663,328.0
1607170574.9683,212.0
1607170574.9703,120.0
1607170574.9722,53.0
1607170574.9743,4.0
1607170574.9763,-21.0
1607170574.9783,-33.0
1607170574.9803,-36.0
1607170574.9823,-36.0
1607170574.9842,-28.0
1607170574.9862,-16.0
1607170574.9883,-7.0
1607170574.9903,4.0
1607170574.9924,14.0
1607170574.9943,21.0
1607170574.9963,31.0
1607170574.9983,43.0
1607170575.0003,50.0
1607170575.0022,60.0
1607170575.0043,69.0
1607170575.0063,77.0
1607170575.0083,82.0
1607170575.0103,91.0
1607170575.0123,98.0
1607170575.0143,98.0
1607170575.0164,101.0
1607170575.0183,103.0
1607170575.0203,106.0
1607170575.0222,106.0
1607170575.0243,106.0
1607170575.0264,108.0
1607170575.0283,108.0
1607170575.0303,106.0
1607170575.0322,106.0
1607170575.0343,106.0
1607170575.0362,103.0
1607170575.0383,101.0
1607170575.0403,103.0
1607170575.0423,108.0
1607170575.0442,110.0
1607170575.0463,110.0
1607170575.0483,113.0
1607170575.0502,115.0
1607170575.0523,118.0
1607170575.0544,118.0
1607170575.0563,120.0
1607170575.0583,120.0
1607170575.0603,120.0
1607170575.0622,123.0
1607170575.4582,125.0
1607170575.4588,127.0
1607170575.4612,130.0
1607170575.4639,132.0
1607170575.4659,135.0
1607170575.4678,135.0
1607170575.4699,137.0
1607170575.4718,137.0
1607170575.474,139.0
1607170575.4759,142.0
1607170575.4779,139.0
1607170575.4798,135.0
1607170575.4819,135.0
1607170575.4838,139.0
1607170575.4858,139.0
1607170575.4878,142.0
1607170575.4899,144.0
1607170575.4919,147.0
1607170575.4939,147.0
1607170575.4958,147.0
1607170575.4965,149.0
1607170575.4989,154.0
1607170575.5008,154.0
1607170575.5028,152.0
1607170575.5049,154.0
1607170575.5068,154.0
1607170575.5089,152.0
1607170575.511,152.0
1607170575.5129,152.0
1607170575.5149,149.0
1607170575.5168,147.0
1607170575.5189,147.0
1607170575.5209,149.0
1607170575.5228,147.0
1607170575.5249,144.0
1607170575.5269,144.0
1607170575.5275,144.0
1607170575.5299,144.0
1607170575.5318,144.0
1607170575.5338,144.0
