,hr,rr
1606935800.3705,5.70163934426229,-78.17049180327865
1606935801.3905,5.70163934426229,-35.17049180327865
1606935802.4103,5.70163934426229,-8.17049180327865
1606935803.3706,4.70163934426229,3.829508196721349
1606935804.3905,3.70163934426229,-15.17049180327865
1606935805.3804,3.70163934426229,30.82950819672135
1606935806.371,2.70163934426229,32.82950819672135
1606935807.51,1.70163934426229,23.82950819672135
1606935808.3806,1.70163934426229,59.82950819672135
1606935809.3704,0.7016393442622899,62.82950819672135
1606935810.4203,0.7016393442622899,73.82950819672135
1606935811.4111,-0.2983606557377101,78.82950819672135
1606935812.4902,-1.29836065573771,105.82950819672135
1606935813.3905,-2.29836065573771,51.82950819672135
1606935814.3803,-2.29836065573771,63.82950819672135
1606935815.3703,-3.29836065573771,58.82950819672135
1606935816.4799,-3.29836065573771,100.82950819672135
1606935817.3805,-4.29836065573771,124.82950819672135
1606935818.3704,-4.29836065573771,23.82950819672135
1606935819.3902,-5.29836065573771,26.82950819672135
1606935820.3802,-4.29836065573771,63.82950819672135
1606935821.49,-4.29836065573771,78.82950819672135
1606935822.4203,-5.29836065573771,74.82950819672135
1606935823.3802,-5.29836065573771,70.82950819672135
1606935824.3701,-5.29836065573771,78.82950819672135
1606935825.4165,-5.29836065573771,65.82950819672135
1606935826.3806,-5.29836065573771,68.82950819672135
1606935827.3702,-5.29836065573771,68.82950819672135
1606935828.3902,-5.29836065573771,67.82950819672135
1606935829.3801,-5.29836065573771,69.82950819672135
1606935830.5113,-5.29836065573771,93.82950819672135
1606935831.3905,-6.29836065573771,71.82950819672135
1606935832.3801,-6.29836065573771,81.82950819672135
1606935833.3698,-6.29836065573771,86.82950819672135
1606935834.3898,-6.29836065573771,100.32950819672135
1606935835.4893,-6.29836065573771,113.82950819672135
1606935836.3702,-7.29836065573771,1446.8295081967212
1606935837.39,-8.29836065573771,-101.17049180327865
1606935838.38,-8.29836065573771,-102.17049180327865
1606935839.4162,-8.29836065573771,-62.17049180327865
1606935840.3901,-4.29836065573771,-43.17049180327865
1606935841.3799,-3.29836065573771,-25.17049180327865
1606935842.3699,-2.29836065573771,-60.17049180327865
1606935843.4202,-2.29836065573771,-2.170491803278651
1606935844.5513,-1.29836065573771,24.82950819672135
1606935845.4,-1.29836065573771,68.82950819672135
1606935846.39,-2.29836065573771,57.82950819672135
1606935847.3968,-2.29836065573771,55.82950819672135
1606935848.4197,-3.29836065573771,84.82950819672135
1606935849.5293,-3.29836065573771,64.82950819672135
1606935850.38,-3.29836065573771,33.82950819672135
1606935851.3698,-3.29836065573771,15.82950819672135
1606935852.3898,-3.29836065573771,-9.17049180327865
1606935853.5203,-2.29836065573771,-20.17049180327865
1606935854.3703,-2.29836065573771,-9.17049180327865
1606935855.3899,-1.29836065573771,-41.17049180327865
1606935856.38,-1.29836065573771,-7.170491803278651
1606935857.3931,-0.2983606557377101,6.829508196721349
1606935858.5009,-0.2983606557377101,-1.1704918032786509
1606935859.38,-0.2983606557377101,18.82950819672135
1606935860.3699,-0.2983606557377101,32.82950819672135
1606935861.3898,-1.29836065573771,11.82950819672135
1606935862.4292,-1.29836065573771,6.829508196721349
1606935863.3702,-1.29836065573771,39.82950819672135
1606935864.4199,-1.29836065573771,28.82950819672135
1606935865.3798,-1.29836065573771,0.8295081967213491
1606935866.3698,-1.29836065573771,17.82950819672135
1606935867.53,-1.29836065573771,12.82950819672135
