,arousal,valence,Q
0,-2.0,2.0,2
1,-2.0,2.0,2
2,-2.0,2.0,2
3,-2.0,2.0,2
4,-2.0,2.0,2
5,-2.0,2.0,2
6,-2.0,2.0,2
7,-2.0,2.0,2
8,-2.0,2.0,2
9,-2.0,2.0,2
10,-2.0,2.0,2
11,-2.0,2.0,2
12,-2.0,2.0,2
13,-2.0,2.0,2
14,-2.0,2.0,2
15,-2.0,2.0,2
16,-2.0,2.0,2
17,-2.0,2.0,2
18,-2.0,2.0,2
19,-2.0,2.0,2
20,-2.0,2.0,2
21,-1.6,1.8,2
22,-1.2,1.6,2
23,-0.8,1.4,2
24,-0.4,1.2000000000000002,2
25,0.0,1.0,0
26,-0.4,1.2000000000000002,2
27,-0.8,1.4,2
28,-1.2,1.6,2
29,-1.6,1.8,2
30,-2.0,2.0,2
31,-1.6,1.8,2
32,-1.2,1.6,2
33,-0.8,1.4,2
34,-0.4,1.2000000000000002,2
35,0.0,1.0,0
36,-0.4,1.2000000000000002,2
37,-0.8,1.4,2
38,-1.2,1.6,2
39,-1.6,1.8,2
40,-2.0,2.0,2
41,-2.0,2.0,2
42,-2.0,2.0,2
43,-2.0,2.0,2
44,-2.0,2.0,2
45,-2.0,2.0,2
46,-1.6,1.8,2
47,-1.2,1.6,2
48,-0.8,1.4,2
49,-0.4,1.2000000000000002,2
50,0.0,1.0,0
51,-0.4,1.2000000000000002,2
52,-0.8,1.4,2
53,-1.2,1.6,2
54,-1.6,1.8,2
55,-2.0,2.0,2
56,-2.2,2.2,2
57,-2.4000000000000004,2.4000000000000004,2
58,-2.5999999999999996,2.5999999999999996,2
59,-2.8000000000000003,2.8000000000000003,2
60,-3.0,3.0,2
61,-3.0000000000000004,3.0000000000000004,2
62,-3.0,3.0,2
63,-3.0,3.0,2
64,-3.0000000000000004,3.0000000000000004,2
65,-3.0,3.0,2
66,-2.4000000000000004,2.6000000000000005,2
67,-1.7999999999999998,2.1999999999999997,2
68,-1.2000000000000002,1.8000000000000003,2
69,-0.6000000000000001,1.4000000000000001,2
70,0.0,1.0,0
71,0.0,0.8,0
72,0.0,0.6,0
73,0.0,0.4,0
74,0.0,0.2,0
75,0.0,0.0,0
76,0.0,0.0,0
77,0.0,0.0,0
78,0.0,0.0,0
79,0.0,0.0,0
80,0.0,0.0,0
81,0.0,0.0,0
82,0.0,0.0,0
83,0.0,0.0,0
84,0.0,0.0,0
