,hr,rr
1605960033.5734,71.0,834.0
1605960034.6831,71.0,919.0
1605960035.5831,71.0,1004.0
1605960036.573,71.0,814.0
1605960037.623,72.0,840.0
1605960038.613,72.0,835.0
1605960039.5732,72.0,837.0
1605960040.5932,72.0,845.0
1605960041.5831,73.0,821.0
1605960042.5729,73.0,800.0
1605960043.677,73.0,794.0
1605960044.583,74.0,771.0
1605960045.5729,75.0,769.0
1605960046.5929,75.0,736.0
1605960047.5829,77.0,736.0
1605960048.6926,77.0,757.0
1605960049.5931,78.0,755.0
1605960050.5829,79.0,722.0
1605960051.5729,79.0,725.0
1605960052.6227,80.0,738.0
1605960053.583,80.0,777.0
1605960054.5729,80.0,780.0
1605960055.5929,80.0,807.0
1605960056.5862,79.0,820.0
1605960057.7153,79.0,793.0
1605960058.593,79.0,762.0
1605960059.5829,79.0,750.0
1605960060.5727,79.0,778.0
1605960061.5927,79.0,788.0
1605960062.693,79.0,763.0
1605960063.5729,79.0,805.0
1605960064.5927,79.0,860.0
1605960065.5826,78.0,848.0
1605960066.6522,77.0,823.0
1605960067.5929,77.0,834.0
1605960068.5827,77.0,785.0
1605960069.5737,77.0,783.0
1605960070.6226,77.0,782.0
1605960071.6998,77.0,777.0
1605960072.5729,77.0,768.0
1605960073.5927,78.0,772.0
1605960074.5826,78.0,806.0
1605960075.6222,78.0,812.0
1605960076.593,78.0,858.0
1605960077.5826,77.0,870.0
1605960078.5728,76.0,868.0
1605960079.5926,76.0,824.0
1605960080.6915,75.0,812.0
1605960081.5731,75.0,831.0
1605960082.5927,75.0,805.0
1605960083.5827,76.0,734.0
1605960084.6021,76.0,745.0
1605960085.7026,78.0,753.0
1605960086.5828,78.0,846.0
1605960087.8007,77.0,830.0
1605960088.9678,77.0,812.0
1605960089.9671,77.0,729.0
1605960090.5728,78.0,714.0
1605960091.5926,79.0,728.0
1605960092.5825,80.0,751.0
1605960093.6235,80.0,750.0
1605960094.7321,80.0,762.0
1605960095.5826,80.0,809.0
1605960096.5726,80.0,828.0
1605960097.5924,79.0,837.0
1605960098.6638,78.0,787.0
1605960099.5728,78.0,769.0
1605960100.5926,79.0,746.0
1605960101.5823,79.0,736.0
1605960102.5725,80.0,761.0
1605960103.7618,80.0,779.0
1605960104.6126,80.0,799.0
1605960105.6025,80.0,819.0
1605960106.5924,79.0,827.0
1605960107.6031,78.0,834.0
1605960108.7116,78.0,758.0
1605960109.5925,78.0,757.0
1605960110.5824,78.0,811.0
1605960111.5723,78.0,903.0
1605960112.6438,78.0,936.0
1605960113.5827,77.0,966.0
1605960114.5725,74.0,946.0
1605960115.5924,73.0,928.0
1605960116.5823,73.0,915.0
1605960117.7193,72.0,824.0
1605960118.5925,72.0,773.0
1605960119.5824,73.0,754.0
1605960120.5722,75.0,770.0
1605960121.6425,75.0,727.0
1605960122.5823,76.0,715.0
1605960123.5724,78.0,724.0
1605960124.5922,78.0,762.0
1605960125.5821,79.0,785.0
1605960126.6538,79.0,805.0
1605960127.5923,78.0,794.0
1605960128.5821,78.0,789.0
1605960129.5721,78.0,811.0
1605960130.6438,78.0,831.0
1605960131.5825,77.0,847.0
1605960132.5723,77.0,855.0
1605960133.5921,76.0,864.0
1605960134.5821,76.0,870.0
1605960135.6618,75.0,862.0
1605960136.6229,75.0,871.0
1605960137.6121,74.0,856.0
1605960141.8806,74.0,835.0
1605960141.887,74.0,843.0
1605960141.8922,74.0,858.0
1605960141.8974,73.0,863.0
1605960143.0665,73.0,832.0
1605960144.2165,73.0,816.0
1605960145.1716,73.0,813.0
1605960146.3574,74.0,822.0
1605960147.3224,74.0,780.0
1605960148.1872,74.0,734.0
1605960148.8822,76.0,742.0
1605960149.8079,76.0,734.0
1605960150.5778,78.0,719.0
1605960151.5942,79.0,710.0
1605960152.5845,80.0,693.0
1605960153.6205,81.0,695.0
1605960154.5959,82.0,707.0
1605960155.5838,83.0,730.0
1605960156.6036,83.0,781.0
1605960157.6236,83.0,765.0
1605960158.6877,82.0,765.0
1605960159.5737,82.0,778.0
1605960160.5939,81.0,794.0
1605960161.5837,81.0,801.0
1605960162.6566,80.0,809.0
1605960163.7335,80.0,835.0
1605960164.584,79.0,869.0
1605960165.5736,79.0,887.0
1605960166.5938,77.0,872.0
1605960167.6886,76.0,793.0
1605960168.5738,76.0,764.0
1605960169.6237,77.0,770.0
1605960170.6139,77.0,771.0
1605960171.6458,77.0,766.0
1605960172.6973,78.0,756.0
1605960173.5834,78.0,720.0
1605960174.5736,80.0,727.0
1605960175.5939,80.0,703.0
1605960176.6259,81.0,710.0
1605960177.6038,82.0,738.0
1605960178.5936,82.0,741.0
1605960179.5836,82.0,739.0
1605960180.5741,82.0,748.0
1605960181.694,82.0,766.0
1605960182.5839,82.0,790.0
1605960183.5738,81.0,803.0
1605960184.5937,81.0,789.0
1605960185.6433,81.0,801.0
1605960186.7344,80.0,805.0
1605960187.5959,80.0,759.0
1605960188.5836,80.0,733.0
1605960189.5734,80.0,723.0
1605960190.6528,81.0,735.0
1605960191.5837,81.0,733.0
1605960192.5736,82.0,731.0
1605960193.5935,82.0,708.0
1605960194.6545,83.0,746.0
1605960195.7062,83.0,761.0
1605960196.5937,82.0,762.0
1605960197.5836,82.0,778.0
1605960198.5737,82.0,808.0
1605960199.6364,82.0,837.0
1605960200.5836,81.0,862.0
1605960201.5736,79.0,842.0
1605960202.6237,79.0,813.0
1605960203.6135,78.0,808.0
1605960204.7184,78.0,809.0
1605960206.1705,78.0,773.0
1605960207.3772,78.0,797.0
1605960207.7791,78.0,856.0
1605960208.6873,78.0,910.0
1605960209.7205,77.0,917.0
1605960210.5717,76.0,956.0
1605960211.5916,74.0,961.0
1605960212.5816,73.0,886.0
1605960213.6198,72.0,823.0
1605960214.5919,73.0,778.0
1605960215.5817,74.0,725.0
1605960216.5715,75.0,717.0
1605960217.5914,77.0,701.0
1605960218.6917,78.0,771.0
1605960219.5715,78.0,830.0
1605960220.5915,78.0,866.0
1605960221.5814,77.0,862.0
1605960222.621,77.0,808.0
1605960223.5918,76.0,801.0
1605960224.5816,76.0,810.0
1605960225.5715,76.0,821.0
1605960226.5913,76.0,836.0
1605960227.6636,76.0,879.0
1605960228.6015,76.0,902.0
1605960229.5914,75.0,911.0
1605960230.5813,74.0,887.0
1605960231.6214,73.0,849.0
1605960232.5917,73.0,819.0
1605960233.5814,73.0,833.0
1605960234.5714,74.0,835.0
1605960235.6213,74.0,796.0
1605960236.6409,74.0,822.0
1605960237.5715,74.0,859.0
1605960238.5913,74.0,882.0
1605960239.5812,73.0,857.0
1605960240.5713,74.0,743.0
1605960241.7028,74.0,715.0
1605960242.5815,76.0,747.0
1605960243.5714,76.0,860.0
1605960244.5913,76.0,894.0
1605960245.6311,76.0,857.0
1605960246.5714,75.0,827.0
1605960247.5914,75.0,837.0
1605960248.5813,75.0,785.0
1605960249.5714,75.0,764.0
1605960250.6727,75.0,774.0
1605960251.5815,76.0,811.0
1605960252.5713,76.0,911.0
1605960253.5913,75.0,942.0
1605960254.5813,74.0,938.0
1605960255.5714,73.0,950.0
1605960256.6215,72.0,943.0
1605960257.5813,72.0,928.0
1605960258.5712,71.0,900.0
1605960259.6408,71.0,796.0
1605960260.6113,71.0,779.0
1605960261.5713,73.0,783.0
1605960262.5911,73.0,773.0
1605960263.581,74.0,785.0
1605960264.7148,74.0,796.0
1605960265.5912,75.0,807.0
1605960266.581,75.0,787.0
1605960267.601,75.0,789.0
1605960268.6409,76.0,790.0
1605960269.6113,76.0,798.0
1605960270.5711,76.0,782.0
1605960271.5909,76.0,780.0
1605960272.5809,77.0,790.0
1605960273.679,77.0,829.0
1605960274.591,77.0,827.0
1605960275.5809,76.0,811.0
1605960276.5708,76.0,802.0
1605960277.5908,76.0,796.0
1605960278.5812,76.0,788.0
1605960279.571,77.0,777.0
1605960280.5908,77.0,788.0
1605960281.5808,77.0,811.0
1605960282.6483,77.0,839.0
1605960283.5909,76.0,830.0
1605960284.5808,76.0,801.0
1605960285.5708,76.0,799.0
1605960286.5907,76.0,817.0
1605960287.7518,76.0,807.0
1605960288.5694,76.0,756.0
1605960289.587,77.0,751.0
1605960290.5749,77.0,773.0
1605960291.6446,77.0,749.0
1605960292.5815,78.0,731.0
1605960293.5698,79.0,712.0
1605960294.5583,80.0,693.0
1605960295.5957,81.0,748.0
1605960296.6768,81.0,785.0
1605960297.5542,81.0,793.0
1605960298.5731,81.0,757.0
1605960299.5618,81.0,769.0
1605960300.5723,81.0,788.0
1605960301.6784,80.0,806.0
1605960302.5889,80.0,774.0
1605960303.5479,80.0,781.0
1605960304.5669,80.0,807.0
1605960305.6672,79.0,841.0
1605960306.5456,79.0,813.0
1605960307.5948,78.0,803.0
1605960308.5541,78.0,799.0
1605960309.5622,78.0,745.0
1605960310.6735,79.0,717.0
1605960311.5526,79.0,726.0
1605960312.5719,80.0,764.0
1605960313.5614,80.0,815.0
1605960314.6023,80.0,862.0
