,ecg
1605960034.6084,2255.0
1605960034.6104,2226.0
1605960034.6124,2207.0
1605960034.6144,2182.0
1605960034.6164,2153.0
1605960034.6184,2131.0
1605960034.6205,2114.0
1605960034.6224,2097.0
1605960034.6243,2097.0
1605960034.6264,2109.0
1605960034.6284,2097.0
1605960034.6304,2082.0
1605960034.6324,2089.0
1605960034.6345,2097.0
1605960034.6365,2102.0
1605960034.6384,2104.0
1605960034.6404,2106.0
1605960034.6424,2121.0
1605960034.6444,2111.0
1605960034.6464,2087.0
1605960034.6484,2082.0
1605960034.6504,2087.0
1605960034.6524,2067.0
1605960034.6545,2033.0
1605960034.6564,2019.0
1605960034.6584,2006.0
1605960034.6604,1992.0
1605960034.6624,1977.0
1605960034.6644,1940.0
1605960034.6665,1909.0
1605960034.6684,1916.0
1605960034.6705,1909.0
1605960034.6724,1879.0
1605960034.6744,1865.0
1605960034.6764,1865.0
1605960034.6784,1853.0
1605960034.6804,1831.0
1605960035.076,1821.0
1605960035.0769,1816.0
1605960035.0794,1804.0
1605960035.0821,1806.0
1605960035.0841,1801.0
1605960035.0862,1777.0
1605960035.0881,1757.0
1605960035.0899,1750.0
1605960035.0919,1743.0
1605960035.0939,1728.0
1605960035.096,1711.0
1605960035.098,1694.0
1605960035.1,1684.0
1605960035.1021,1687.0
1605960035.104,1687.0
1605960035.106,1677.0
1605960035.1079,1672.0
1605960035.1099,1660.0
1605960035.1119,1640.0
1605960035.1139,1628.0
1605960035.116,1611.0
1605960035.1179,1599.0
1605960035.1199,1596.0
1605960035.1219,1594.0
1605960035.1239,1591.0
1605960035.126,1584.0
1605960035.1279,1567.0
1605960035.1299,1542.0
1605960035.132,1518.0
1605960035.1339,1513.0
1605960035.136,1523.0
1605960035.1379,1516.0
1605960035.1399,1503.0
1605960035.1419,1496.0
1605960035.1439,1494.0
1605960035.1459,1494.0
1605960035.148,1481.0
1605960035.15,1469.0
1605960035.1519,1467.0
1605960035.1539,1457.0
1605960035.1559,1447.0
1605960035.1579,1437.0
1605960035.1599,1416.0
1605960035.1619,1325.0
1605960035.1639,1088.0
1605960035.166,908.0
1605960035.1679,1252.0
1605960035.1699,1923.0
1605960035.1719,1977.0
1605960035.1739,1462.0
1605960035.1759,1289.0
1605960035.1779,1386.0
1605960035.1799,1325.0
1605960035.182,1269.0
1605960035.1839,1303.0
1605960035.186,1298.0
1605960035.1879,1274.0
1605960035.1899,1286.0
1605960035.1919,1279.0
1605960035.1939,1240.0
1605960035.1959,1230.0
1605960035.198,1237.0
1605960035.1999,1223.0
1605960035.2019,1210.0
1605960035.2041,1203.0
1605960035.2059,1184.0
1605960035.2079,1174.0
1605960035.2099,1171.0
1605960035.2119,1162.0
1605960035.214,1149.0
1605960035.216,1145.0
1605960035.2179,1132.0
1605960035.2199,1098.0
1605960035.6162,1074.0
1605960035.6168,1071.0
1605960035.6182,1062.0
1605960035.6202,1044.0
1605960035.6222,1049.0
1605960035.6242,1052.0
1605960035.6262,1032.0
1605960035.6283,1035.0
1605960035.6302,1062.0
1605960035.6322,1064.0
1605960035.6342,1071.0
1605960035.6362,1096.0
1605960035.6382,1105.0
1605960035.6402,1115.0
1605960035.6422,1125.0
1605960035.6443,1127.0
1605960035.6462,1130.0
1605960035.6481,1130.0
1605960035.6501,1125.0
1605960035.6522,1115.0
1605960035.6541,1096.0
1605960035.6562,1081.0
1605960035.6582,1071.0
1605960035.6602,1079.0
1605960035.6622,1091.0
1605960035.6642,1074.0
1605960035.6662,1040.0
1605960035.6682,1025.0
1605960035.6701,1030.0
1605960035.6722,1022.0
1605960035.6742,1008.0
1605960035.6763,1018.0
1605960035.6782,1022.0
1605960035.6801,1000.0
1605960035.6821,991.0
1605960035.6841,1000.0
1605960035.6862,1003.0
1605960035.6882,996.0
1605960035.6901,979.0
1605960035.6922,986.0
1605960035.6943,1003.0
1605960035.6962,991.0
1605960035.6983,976.0
1605960035.7002,969.0
1605960035.7022,966.0
1605960035.7041,964.0
1605960035.7062,959.0
1605960035.7082,947.0
1605960035.7102,937.0
1605960035.7122,939.0
1605960035.7142,942.0
1605960035.7162,927.0
1605960035.7181,913.0
1605960035.7201,913.0
1605960035.7221,910.0
1605960035.7242,913.0
1605960035.7262,910.0
1605960035.7282,900.0
1605960035.7301,893.0
1605960035.7322,893.0
1605960035.7342,895.0
1605960035.7362,886.0
1605960035.7381,866.0
1605960035.7401,856.0
1605960035.7422,852.0
1605960035.7443,847.0
1605960035.7462,852.0
1605960035.7481,859.0
1605960035.7501,854.0
1605960035.7522,849.0
1605960035.7541,861.0
1605960035.7562,869.0
1605960035.7582,859.0
1605960036.2164,847.0
1605960036.2173,839.0
1605960036.2198,832.0
1605960036.2226,822.0
1605960036.2244,793.0
1605960036.2265,654.0
1605960036.2284,371.0
1605960036.2303,290.0
1605960036.2324,847.0
1605960036.2343,1489.0
