Time,HR,RR
1604494378.1441,69,975
1604494379.1363,69,1089
1604494380.2410,68,1116
1604494381.1710,67,1019
1604494382.1309,66,1021
1604494383.1207,65,947
1604494384.1707,65,1046
1604494385.2500,65,935
1604494386.1509,64,935
1604494387.1407,64,nan
1604494388.1308,64,1125
1604494389.2104,64,1180
1604494390.1413,63,1112
1604494391.1308,62,1039
1604494392.1206,62,1128
1604494393.1406,61,1180
1604494394.2477,60,977
1604494395.1207,60,874
1604494396.1407,61,971
1604494397.1305,61,1032
1604494398.2104,61,1338
1604494399.1411,61,nan
1604494400.1307,60,1318
1604494401.1206,58,1230
1604494402.1406,57,1007
1604494403.2725,57,847
1604494404.1209,60,764
1604494405.1407,62,796
1604494406.1306,63,780
1604494407.1420,66,741
1604494408.2513,68,747
1604494409.1306,69,747
1604494410.1208,72,765
1604494411.1405,73,746
1604494412.1796,75,723
1604494413.1208,76,686
1604494414.1406,78,662
1604494415.1306,84,630
1604494416.1740,86,608
1604494417.2499,90,606
1604494418.1609,93,595
1604494419.1206,96,593
1604494420.1405,98,604
1604494421.1790,99,608
1604494422.1208,100,600
1604494423.1406,101,591
1604494424.1306,102,577
1604494425.1205,103,583
1604494426.2506,104,588
1604494427.1307,104,614
1604494428.1204,103,609
1604494429.1405,103,647
1604494430.1601,101,700
1604494431.1208,99,818
1604494432.1405,93,891
1604494433.1306,79,937
1604494434.1398,78,766
1604494435.1909,78,703
1604494436.1307,79,675
1604494437.1204,80,789
1604494438.1403,81,1011
1604494439.1303,80,1070
1604494440.2614,74,1105
1604494441.1706,72,1019
1604494442.1303,71,820
1604494443.1203,70,844
