,gsr,temp
1605962252.8199,256659.57275327583,37.06
1605962254.2816,257635.33977675275,37.06
1605962255.8715,258285.93758082626,37.06
1605962257.4613,258741.70058412975,37.06
1605962259.0814,259246.80153637315,37.06
1605962260.6978,259726.17500649573,37.06
1605962262.361,260287.54657156838,37.06
1605962264.0416,261059.3360342966,37.06
1605962265.4712,261857.3013542536,37.06
1605962267.0612,262778.0386341315,37.06
1605962268.6511,263743.6970171834,37.06
1605962270.2712,264854.5898255528,37.06
1605962271.9492,266118.07310542814,37.06
1605962273.5877,267541.9362760784,37.06
1605962275.0712,269134.4216595083,37.06
1605962276.6612,270824.9992494066,37.06
1605962278.2511,272691.95079108083,37.06
1605962279.9009,274662.68579975836,37.06
1605962281.461,276730.6544743939,37.06
1605962283.1487,278917.5718190622,37.06
1605962284.7711,281307.0781850485,37.06
1605962286.261,283821.9686482061,37.06
1605962287.8508,286370.89480398566,37.06
1605962289.4708,288730.7432655963,37.06
1605962291.0608,290840.86617363105,37.06
1605962292.6675,292829.56261537725,37.06
1605962294.3401,294805.10161891754,37.06
1605962295.8606,296724.50455592864,37.06
1605962297.4808,298747.8751803195,37.06
1605962299.0406,300879.7589112365,37.06
1605962300.6907,303062.53510391404,37.06
1605962302.2506,305718.7790558891,37.06
1605962303.8795,307840.4023963491,37.06
1605962305.5607,308989.12046358566,37.06
1605962307.0507,309683.9094031841,37.06
1605962308.6404,310220.5219355459,37.06
1605962310.2604,310764.7999888775,37.06
1605962311.8504,311330.7520448951,37.06
1605962313.4404,311934.53984875156,37.06
1605962315.0724,312594.78840066143,37.06
1605962316.781,313293.0682666847,37.06
1605962318.2403,314043.65663917415,37.06
1605962319.8303,314774.1895289115,37.06
1605962321.4504,315429.2224850569,37.06
1605962323.0403,316177.00553526555,37.06
1605962324.6292,316985.9148079587,37.06
1605962326.2909,317866.8496462162,37.06
1605962327.937,318775.75357167254,37.06
1605962329.4291,319715.82425699354,37.06
1605962331.049,320690.560344328,37.06
1605962332.639,321587.0534566479,37.06
1605962334.2289,322454.14481618296,37.06
1605962335.8489,323241.09896661,37.06
1605962337.5111,324008.2983550639,37.06
1605962339.1899,324811.48072433023,37.06
1605962340.6488,325654.5657265859,37.06
1605962342.2387,326541.81085306837,37.06
1605962343.8286,327413.53541524254,37.06
1605962345.4187,328435.96394265146,37.06
1605962347.0531,329498.35187135707,37.06
1605962348.7027,330472.02010354155,37.06
1605962350.2187,331480.30408132024,37.06
1605962351.8388,332931.38942881563,37.06
1605962353.4286,333829.08474955976,37.06
1605962355.0186,334723.78233132645,37.06
1605962356.6385,335615.48217416345,37.06
1605962358.2406,336504.18427807087,37.06
1605962359.9506,337389.88864304865,37.06
1605962361.4385,338272.5952690968,37.06
1605962363.0284,339152.3041562153,37.06
1605962364.6184,340029.01530440414,37.06
1605962366.2384,340902.72871366335,37.06
1605962367.8283,341773.44438399293,37.06
1605962369.4913,342641.16231539287,37.06
1605962371.0085,343505.8825078632,37.06
1605962372.6283,344367.6049614039,37.06
1605962374.2182,345226.3296760149,37.06
1605962375.8082,346082.0566516963,37.06
1605962377.4282,346934.78588844807,37.06
1605962379.0305,347784.51738627016,37.06
