,hr,rr,ecg,gsr,temperature
1602674794.8128,69.0,827.0,46.0,180.84580805310688,34.5
1602674794.8146,69.0,827.0,491.0,180.98681262757918,34.5
1602674794.8164,69.0,827.0,2564.0,181.1225636784124,34.5
1602674794.8179,69.0,827.0,5764.0,181.2530612056066,34.5
1602674794.8193,69.0,827.0,7888.0,181.37830520916174,34.5
1602674794.8202,69.0,827.0,9039.0,181.4982956890778,34.5
1602674794.8212,69.0,827.0,10426.0,181.61303264535482,34.5
1602674794.8221,69.0,827.0,11650.0,181.72251607799276,34.5
1602674794.8231,69.0,827.0,12451.0,181.82674598699165,34.5
1602674794.824,69.0,827.0,13239.0,181.92572237235152,34.5
1602674794.8249,69.0,827.0,13981.0,182.0194452340723,34.5
1602674794.8259,69.0,827.0,14538.0,182.10791457215402,34.5
1602674794.8268,69.0,827.0,15057.0,182.19113038659668,34.5
1602674794.8277,69.0,827.0,15546.0,182.2690926774003,34.5
1602674794.8285,69.0,827.0,15933.0,182.34180144456485,34.5
1602674794.8292,69.0,827.0,16273.0,182.40925668809035,34.5
1602674794.8298,69.0,827.0,16602.0,182.47145840797677,34.5
1602674794.8305,69.0,827.0,16884.0,182.52840660422416,34.5
1602674794.8312,69.0,827.0,17125.0,182.5801012768325,34.5
1602674794.8319,69.0,827.0,17349.0,182.62654242580174,34.5
1602674794.8327,69.0,827.0,17563.0,182.66773005113197,34.5
1602674794.8335,69.0,827.0,17743.0,182.7036641528231,34.5
1602674794.8342,69.0,827.0,17882.0,182.73434473087522,34.5
1602674794.8349,69.0,827.0,18018.0,182.75977178528825,34.5
1602674794.8356,69.0,827.0,18159.0,182.77994531606222,34.5
1602674794.8363,69.0,827.0,18271.0,182.79486532319717,34.5
1602674794.8369,69.0,827.0,18359.0,182.80453180669303,34.5
1602674794.8374,69.0,827.0,18434.0,182.80894476654984,34.5
1602674794.8379,69.0,827.0,18507.0,182.8081042027676,34.5
1602674794.8384,69.0,827.0,18568.0,182.8020101153463,34.5
1602674794.839,69.0,827.0,18609.0,182.79066250428593,34.5
1602674794.8395,69.0,827.0,18651.0,182.77406136958652,34.5
1602674794.84,69.0,827.0,18694.0,182.75220671124802,34.5
1602674794.8405,69.0,827.0,18714.0,182.7250985292705,34.5
1602674794.8411,69.0,827.0,18706.0,182.69273682365392,34.5
1602674794.8416,69.0,827.0,18711.0,182.65512159439825,34.5
1602674794.8422,69.0,827.0,18738.0,182.61225284150356,34.5
1602674794.8427,69.0,827.0,18736.0,182.5641305649698,34.5
1602674794.8432,69.0,827.0,18711.0,182.51075476479699,34.5
1602674794.8437,69.0,827.0,18702.0,182.4521254409851,34.5
