Time,HR,RR
1607178736.5783,84,nan
1607178737.5735,85,744
1607178738.5607,84,786
1607178739.6074,84,809
1607178740.6872,82,828
1607178741.5876,81,798
1607178742.6076,81,793
1607178743.5674,81,819
1607178744.6165,80,815
1607178745.5776,79,843
1607178746.5973,78,874
1607178747.5573,78,826
1607178748.6051,77,826
1607178749.7116,77,818
1607178750.5576,76,831
1607178751.5774,76,864
1607178752.5676,76,827
1607178753.6169,75,829
1607178754.7844,75,841
1607178755.5672,75,857
1607178756.5571,74,869
1607178757.6314,74,886
1607178758.7388,74,891
1607178759.6117,73,851
1607178760.6317,73,832
1607178761.6214,73,860
1607178762.6458,73,879
1607178763.9052,73,848
1607178764.6774,73,872
1607178765.6119,72,879
1607178766.6334,72,874
1607178767.6722,72,873
1607178768.6134,72,872
1607178769.6333,72,839
1607178770.6213,72,824
1607178771.6178,72,818
1607178772.8278,72,782
1607178773.6526,73,787
1607178774.6423,74,827
1607178775.6371,74,812
1607178776.6792,74,815
1607178777.6117,74,825
1607178778.6334,74,831
1607178779.6232,74,798
1607178780.6217,74,800
1607178781.6930,75,795
1607178782.6230,75,772
1607178783.6122,75,749
1607178784.6325,76,762
1607178785.6888,77,811
1607178786.6122,77,820
1607178787.6343,77,814
1607178788.6220,76,827
1607178789.6122,76,821
1607178790.7382,76,786
1607178791.6218,76,780
1607178792.6421,76,797
1607178793.6343,77,781
1607178794.6248,77,787
1607178795.7642,77,793
1607178796.6321,77,816
1607178797.6220,77,794
1607178798.6421,77,812
1607178799.7004,77,814
1607178800.6530,76,806
1607178801.6121,76,776
1607178802.6334,77,779
1607178803.6219,77,804
1607178804.7045,77,839
1607178805.6345,77,826
1607178806.6526,76,840
1607178807.6435,76,846
1607178808.6411,75,834
1607178809.6211,75,811
1607178810.6199,75,804
1607178811.6330,75,770
1607178812.6228,76,746
1607178813.7488,77,741
1607178814.6310,77,807
1607178815.6215,78,831
1607178816.6108,77,837
1607178817.6308,77,841
1607178818.7321,76,830
1607178819.6110,76,796
1607178820.6308,76,791
1607178821.6209,76,793
1607178822.6909,76,817
1607178823.6311,76,802
1607178824.6210,76,812
1607178825.6108,76,808
1607178826.6513,76,822
1607178827.7587,76,788
1607178828.6108,76,782
1607178829.6307,76,761
1607178830.6206,77,756
1607178831.6608,78,751
1607178832.6610,78,797
1607178833.6207,78,836
1607178834.6106,78,848
1607178835.6306,77,842
1607178836.7008,76,854
1607178837.6107,76,837
1607178838.6306,76,806
1607178839.6505,76,794
1607178840.6618,76,786
1607178841.7399,76,791
1607178842.6207,76,809
1607178843.6105,76,839
1607178844.6307,76,872
1607178845.7017,75,871
1607178846.6106,75,853
1607178847.6605,74,854
1607178848.6204,74,861
1607178849.6307,74,851
1607178850.7486,74,827
1607178851.6206,74,824
1607178852.6404,74,843
1607178853.6904,74,836
1607178854.6407,74,862
1607178855.6107,73,865
1607178856.6306,73,850
1607178857.6503,73,854
1607178858.6102,73,863
1607178859.7394,73,881
1607178860.6208,72,870
1607178861.6103,72,904
1607178862.6303,72,925
1607178863.6494,71,937
1607178864.7547,71,907
1607178865.6304,70,868
1607178866.6202,70,857
1607178867.6102,71,842
1607178868.6794,71,819
1607178869.6207,71,836
1607178870.6103,71,863
1607178871.6301,71,845
1607178872.6501,71,836
1607178873.7782,72,823
1607178874.6302,72,815
1607178875.6202,73,793
1607178876.6100,73,776
1607178877.6815,74,745
1607178878.6204,75,721
1607178879.6102,77,723
1607178880.6300,78,770
1607178881.6200,78,807
1607178882.6891,78,818
1607178883.6301,78,784
1607178884.6200,78,766
1607178885.6099,78,758
1607178886.6486,79,747
1607178887.6203,79,763
1607178888.6401,79,795
1607178889.6299,79,844
1607178890.6198,78,852
1607178891.6886,78,848
1607178892.6300,77,851
1607178893.6198,77,852
1607178894.6097,76,820
1607178895.6298,76,822
1607178896.6202,76,853
1607178897.6099,75,846
1607178898.6297,75,829
1607178899.6197,75,828
1607178900.7787,75,845
1607178901.6299,75,843
1607178902.6198,74,829
1607178903.6403,74,848
1607178904.6596,74,861
1607178905.7909,74,811
1607178906.7000,74,803
1607178907.6296,74,800
1607178908.6496,75,789
1607178909.6587,75,798
1607178910.6300,75,820
1607178911.6196,75,852
1607178912.6096,75,876
1607178913.6594,74,829
1607178914.7043,74,824
1607178915.6099,74,826
1607178916.6296,74,847
1607178917.6201,74,850
1607178918.6577,74,873
1607178919.7397,74,881
1607178920.6196,73,867
1607178921.6095,73,875
1607178922.6293,72,874
1607178923.6980,72,880
1607178924.6096,72,840
1607178925.6296,72,841
1607178926.6194,72,830
1607178927.6093,72,811
1607178928.7385,73,813
1607178929.6195,73,818
1607178930.6094,73,857
1607178931.6293,73,868
1607178932.6390,73,841
1607178933.6098,73,837
1607178934.6294,73,826
1607178935.6194,73,793
1607178936.6092,74,786
1607178937.7404,74,786
1607178938.6494,75,790
1607178939.6394,75,821
1607178940.6292,75,834
1607178941.6394,75,816
1607178942.7541,75,813
1607178943.6294,75,806
1607178944.6194,75,783
1607178945.6098,75,796
1607178946.6797,76,814
1607178947.6193,76,820
1607178948.6093,75,840
1607178949.6592,75,859
1607178950.6388,75,872
1607178951.7200,74,851
1607178952.6293,74,805
1607178953.6194,74,792
1607178954.6092,75,800
1607178955.6498,75,784
1607178956.6196,75,796
1607178957.6392,76,826
1607178958.6592,75,856
1607178959.6191,75,833
1607178960.7195,75,827
1607178961.6292,75,822
1607178962.6490,75,799
1607178963.6090,75,775
1607178964.6517,76,770
