,hr,rr,ecg,gsr,temperature
1603052869.8845,76.0,803.0,179.0,420.11541919468925,36.69
1603052869.8869,76.0,803.0,805.0,420.101318737242,36.69
1603052869.8895,76.0,803.0,2061.0,420.0877436321587,36.69
1603052869.8921,76.0,803.0,3201.0,420.0746938794393,36.69
1603052869.8942,76.0,803.0,3916.0,420.06216947908376,36.69
1603052869.8962,76.0,803.0,4624.0,420.05017043109217,36.69
1603052869.8984,76.0,803.0,5332.0,420.0386967354645,36.69
1603052869.9005,76.0,803.0,5866.0,420.0277483922007,36.69
1603052869.9027,76.0,803.0,6341.0,420.0173254013008,36.69
1603052869.9048,76.0,803.0,6809.0,420.00742776276485,36.69
1603052869.9063,76.0,803.0,7212.0,419.99805547659275,36.69
1603052869.9079,76.0,803.0,7576.0,419.9892085427846,36.69
1603052869.9099,76.0,803.0,7920.0,419.98088696134033,36.69
1603052869.9119,76.0,803.0,8228.0,419.97309073225995,36.69
1603052869.9139,76.0,803.0,8502.0,419.96581985554354,36.69
1603052869.9159,76.0,803.0,8769.0,419.95907433119095,36.69
1603052869.9179,76.0,803.0,9142.0,419.95285415920233,36.69
1603052869.9199,76.0,803.0,9632.0,419.9471593395776,36.69
1603052869.9219,76.0,803.0,9884.0,419.94198987231675,36.69
1603052869.9239,76.0,803.0,9550.0,419.93734575741985,36.69
1603052869.926,76.0,803.0,9186.0,419.9332269948868,36.69
1603052869.9279,76.0,803.0,9521.0,419.9296335847177,36.69
1603052869.9299,76.0,803.0,10040.0,419.9265655269125,36.69
1603052869.9319,76.0,803.0,10156.0,419.9240228214712,36.69
1603052869.9339,76.0,803.0,10221.0,419.9220054683938,36.69
1603052869.9359,76.0,803.0,10425.0,419.92051346768034,36.69
1603052869.9378,76.0,803.0,10542.0,419.9195468193307,36.69
1603052869.9399,76.0,803.0,10588.0,419.9191055233451,36.69
1603052869.9418,76.0,803.0,10670.0,419.9191895797233,36.69
1603052869.9438,76.0,803.0,10740.0,419.9197989884654,36.69
1603052869.9458,76.0,803.0,10784.0,419.9209337495715,36.69
1603052869.9478,76.0,803.0,10845.0,419.9225938630414,36.69
1603052869.9499,76.0,803.0,10905.0,419.9247793288753,36.69
1603052869.9518,76.0,803.0,10932.0,419.927490147073,36.69
1603052869.9538,76.0,803.0,10949.0,419.93072631763465,36.69
1603052869.9558,76.0,803.0,10980.0,419.9344878405602,36.69
1603052869.9578,76.0,803.0,10997.0,419.9387747158497,36.69
1603052869.9598,76.0,803.0,11007.0,419.9435869435031,36.69
1603052869.9618,76.0,803.0,11048.0,419.94892452352036,36.69
1603052869.9638,76.0,803.0,11073.0,419.95478745590157,36.69
1603052869.9658,76.0,803.0,11051.0,419.96117574064664,36.69
1603052869.9678,76.0,803.0,11024.0,419.96808937775563,36.69
1603052869.9698,76.0,803.0,11022.0,419.97552836722855,36.69
1603052869.9718,76.0,803.0,11014.0,419.9834927090654,36.69
1603052869.9738,76.0,803.0,10995.0,419.9919824032661,36.69
1603052869.9759,76.0,803.0,10978.0,420.0009974498307,36.69
1603052869.9778,76.0,803.0,10964.0,420.0105378487592,36.69
1603052869.9798,76.0,803.0,10939.0,420.0206036000517,36.69
1603052869.9818,76.0,803.0,10915.0,420.031194703708,36.69
1603052869.9838,76.0,803.0,10871.0,420.0423111597283,36.69
1603052869.9867,76.0,803.0,10818.0,420.0539529680523,36.69
1603052869.9879,76.0,803.0,10784.0,420.0691845883017,36.69
1603052869.9898,76.0,803.0,10738.0,420.08504248477095,36.69
1603052869.9918,76.0,803.0,10665.0,420.10149752833354,36.69
1603052869.9938,76.0,803.0,10605.0,420.118520589863,36.69
1603052869.9959,76.0,803.0,10551.0,420.1360825402328,36.69
1603052869.9978,76.0,803.0,10476.0,420.1541542503164,36.69
1603052869.9998,76.0,803.0,10391.0,420.1727065909874,36.69
1603052870.0018,76.0,803.0,10297.0,420.19171043311917,36.69
1603052870.0038,76.0,803.0,10197.0,420.21113664758525,36.69
1603052870.0058,76.0,803.0,10115.0,420.23095610525917,36.69
1603052870.0079,76.0,803.0,10059.0,420.2511396770144,36.69
1603052870.0097,76.0,803.0,9993.0,420.27165823372445,36.69
1603052870.0117,76.0,803.0,9904.0,420.2924826462628,36.69
1603052870.0138,76.0,803.0,9821.0,420.3135837855029,36.69
1603052870.0158,76.0,803.0,9758.0,420.3349325223183,36.69
1603052870.0178,76.0,803.0,9700.0,420.3564997275825,36.69
1603052870.0197,76.0,803.0,9637.0,420.378256272169,36.69
1603052870.0218,76.0,803.0,9562.0,420.4001730269512,36.69
1603052870.0238,76.0,803.0,9482.0,420.42222086280276,36.69
1603052870.0258,76.0,803.0,9416.0,420.4443706505971,36.69
1603052870.0278,76.0,803.0,9363.0,420.46659326120766,36.69
1603052870.0298,76.0,803.0,9288.0,420.488859565508,36.69
1603052870.4218,76.0,803.0,9210.0,420.51114043437155,36.75
1603052870.4227,76.0,803.0,9142.0,420.5334067386719,36.75
1603052870.4252,76.0,803.0,9055.0,420.5556293492824,36.75
1603052870.4278,76.0,803.0,8972.0,420.57777913707673,36.75
1603052870.4298,76.0,803.0,8912.0,420.59982697292827,36.75
1603052870.4318,76.0,803.0,8827.0,420.62174372771057,36.75
1603052870.4339,76.0,803.0,8730.0,420.6435002722971,36.75
1603052870.4359,76.0,803.0,8655.0,420.66506747756137,36.75
1603052870.4378,76.0,803.0,8572.0,420.6864162143768,36.75
1603052870.4398,76.0,803.0,8483.0,420.70751735361694,36.75
1603052870.4418,76.0,803.0,8412.0,420.72834176615527,36.75
1603052870.4438,76.0,803.0,8340.0,420.7488603228653,36.75
1603052870.4458,76.0,803.0,8250.0,420.7690438946205,36.75
1603052870.4477,76.0,803.0,8187.0,420.78886335229436,36.75
1603052870.4497,76.0,803.0,8124.0,420.80828956676055,36.75
1603052870.4517,76.0,803.0,8015.0,420.8272934088923,36.75
1603052870.4537,76.0,803.0,7920.0,420.8458457495633,36.75
1603052870.4557,76.0,803.0,7859.0,420.8639174596469,36.75
1603052870.4578,76.0,803.0,7772.0,420.8814794100167,36.75
1603052870.4597,76.0,803.0,7670.0,420.89850247154607,36.75
1603052870.4618,76.0,803.0,7602.0,420.91495751510877,36.75
1603052870.4637,76.0,803.0,7537.0,420.930815411578,36.75
1603052870.4658,76.0,803.0,7450.0,420.94604703182733,36.75
1603052870.4677,76.0,803.0,7379.0,420.9747537859979,36.75
1603052870.4697,76.0,803.0,7306.0,421.0013341139336,36.75
1603052870.4717,76.0,803.0,7205.0,421.0257880156345,36.75
1603052870.4737,76.0,803.0,7117.0,421.0481154911005,36.75
1603052870.4758,76.0,803.0,7074.0,421.0683165403316,36.75
1603052870.4779,76.0,803.0,7037.0,421.0863911633279,36.75
1603052870.4798,76.0,803.0,6962.0,421.10233936008933,36.75
1603052870.4817,76.0,803.0,6865.0,421.11616113061586,36.75
1603052870.4837,76.0,803.0,6787.0,421.1278564749076,36.75
1603052870.4858,76.0,803.0,6712.0,421.1374253929645,36.75
1603052870.4877,76.0,803.0,6627.0,421.14486788478644,36.75
1603052870.4897,76.0,803.0,6547.0,421.1501839503736,36.75
1603052870.4917,76.0,803.0,6472.0,421.1533735897259,36.75
1603052870.4937,76.0,803.0,6402.0,421.1544368028433,36.75
1603052870.4957,76.0,803.0,6322.0,421.1533735897259,36.75
1603052870.4977,76.0,803.0,6237.0,421.1501839503736,36.75
1603052870.4997,76.0,803.0,6174.0,421.14486788478644,36.75
1603052870.5017,76.0,803.0,6128.0,421.1374253929645,36.75
1603052870.5037,76.0,803.0,6060.0,421.1278564749076,36.75
1603052870.5057,76.0,803.0,5980.0,421.11616113061586,36.75
1603052870.5077,76.0,803.0,5919.0,421.10233936008933,36.75
1603052870.5097,76.0,803.0,5951.0,421.0863911633279,36.75
1603052870.5117,76.0,803.0,6130.0,421.0683165403316,36.75
1603052870.5137,76.0,803.0,6218.0,421.0481154911005,36.75
1603052870.5158,76.0,803.0,5769.0,421.0257880156345,36.75
1603052870.5177,76.0,803.0,5080.0,421.0013341139336,36.75
1603052870.5197,76.0,803.0,5017.0,420.9747537859979,36.75
1603052870.5217,76.0,803.0,5383.0,420.94604703182733,36.75
1603052870.5237,76.0,803.0,5405.0,420.930815411578,36.75
1603052870.5258,76.0,803.0,5264.0,420.91495751510877,36.75
1603052870.5277,76.0,803.0,5281.0,420.89850247154607,36.75
1603052870.5297,76.0,803.0,5245.0,420.8814794100167,36.75
1603052870.5317,76.0,803.0,5146.0,420.8639174596469,36.75
1603052870.5337,76.0,803.0,5117.0,420.8458457495633,36.75
1603052870.5357,76.0,803.0,5066.0,420.8272934088923,36.75
1603052870.5377,76.0,803.0,4983.0,420.80828956676055,36.75
1603052870.5397,76.0,803.0,4942.0,420.78886335229436,36.75
1603052870.5417,76.0,803.0,4896.0,420.7690438946205,36.75
1603052870.5437,76.0,803.0,4813.0,420.7488603228653,36.75
1603052870.5457,76.0,803.0,4753.0,420.72834176615527,36.75
1603052870.5477,76.0,803.0,4716.0,420.70751735361694,36.75
1603052870.5497,76.0,803.0,4665.0,420.6864162143768,36.75
1603052870.5517,76.0,803.0,4612.0,420.66506747756137,36.75
1603052870.5537,76.0,803.0,4561.0,420.6435002722971,36.75
1603052870.5557,76.0,803.0,4510.0,420.62174372771057,36.75
1603052870.5577,76.0,803.0,4462.0,420.59982697292827,36.75
1603052870.5597,76.0,803.0,4418.0,420.57777913707673,36.75
1603052870.5617,76.0,803.0,4382.0,420.5556293492824,36.75
1603052870.5637,76.0,803.0,4343.0,420.5334067386719,36.75
1603052870.5657,76.0,803.0,4292.0,420.51114043437155,36.75
1603052870.9623,76.0,829.0,4236.0,420.488859565508,36.75
1603052870.9628,76.0,829.0,4195.0,420.46659326120766,36.75
1603052870.9654,76.0,829.0,4166.0,420.4443706505971,36.75
1603052870.9679,76.0,829.0,4125.0,420.42222086280276,36.75
1603052870.9699,76.0,829.0,4066.0,420.4001730269512,36.75
1603052870.9719,76.0,829.0,4011.0,420.378256272169,36.75
1603052870.9741,76.0,829.0,3967.0,420.3564997275825,36.75
1603052870.976,76.0,829.0,3923.0,420.3349325223183,36.75
1603052870.9779,76.0,829.0,3875.0,420.3135837855029,36.75
1603052870.9799,76.0,829.0,3822.0,420.2924826462628,36.75
1603052870.9819,76.0,829.0,3749.0,420.27165823372445,36.75
1603052870.9839,76.0,829.0,3661.0,420.2511396770144,36.75
1603052870.9859,76.0,829.0,3589.0,420.23095610525917,36.75
1603052870.9879,76.0,829.0,3538.0,420.21113664758525,36.75
1603052870.99,76.0,829.0,3480.0,420.19171043311917,36.75
1603052870.9919,76.0,829.0,3412.0,420.1727065909874,36.75
1603052870.9939,76.0,829.0,3344.0,420.1541542503164,36.75
1603052870.9959,76.0,829.0,3298.0,420.1360825402328,36.75
1603052870.9979,76.0,829.0,3271.0,420.118520589863,36.75
1603052870.9999,76.0,829.0,3235.0,420.10149752833354,36.75
1603052871.0019,76.0,829.0,3181.0,420.08504248477095,36.75
1603052871.0039,76.0,829.0,3138.0,420.0691845883017,36.75
1603052871.0058,76.0,829.0,3113.0,420.0539529680523,36.75
1603052871.0078,76.0,829.0,3092.0,420.03937675314927,36.75
1603052871.0099,76.0,829.0,3053.0,420.02548507271905,36.75
1603052871.0118,76.0,829.0,2997.0,420.01230705588824,36.75
1603052871.0138,76.0,829.0,2948.0,419.9998718317833,36.75
1603052871.0159,76.0,829.0,2931.0,419.98820852953077,36.75
1603052871.0178,76.0,829.0,2919.0,419.97734627825713,36.75
1603052871.0198,76.0,829.0,2883.0,419.9673142070888,36.75
1603052871.0219,76.0,829.0,2830.0,419.9581414451524,36.75
1603052871.0238,76.0,829.0,2796.0,419.94985712157444,36.75
1603052871.0259,76.0,829.0,2776.0,419.9424903654814,36.75
1603052871.0278,76.0,829.0,2747.0,419.9360703059997,36.75
1603052871.0298,76.0,829.0,2718.0,419.9306260722559,36.75
1603052871.0318,76.0,829.0,2687.0,419.9261867933766,36.75
1603052871.0339,76.0,829.0,2638.0,419.92278159848814,36.75
1603052871.036,76.0,829.0,2592.0,419.92043961671715,36.75
1603052871.0379,76.0,829.0,2565.0,419.9191899771901,36.75
1603052871.0398,76.0,829.0,2546.0,419.9190618090335,36.75
1603052871.0418,76.0,829.0,2524.0,419.9200842413738,36.75
1603052871.0439,76.0,829.0,2488.0,419.9222864033376,36.75
1603052871.0459,76.0,829.0,2437.0,419.9256974240513,36.75
1603052871.0478,76.0,829.0,2393.0,419.9303464326415,36.75
1603052871.0498,76.0,829.0,2376.0,419.9362625582346,36.75
1603052871.0518,76.0,829.0,2357.0,419.94347492995723,36.75
1603052871.0538,76.0,829.0,2325.0,419.9520126769358,36.75
1603052871.056,76.0,829.0,2299.0,419.96190492829686,36.75
1603052871.0579,76.0,829.0,2265.0,419.9731808131669,36.75
1603052871.0598,76.0,829.0,2233.0,419.9858694606724,36.75
1603052871.0618,76.0,829.0,2216.0,419.9999999999399,36.75
1603052871.0638,76.0,829.0,2199.0,419.9999999999399,36.75
1603052871.0659,76.0,829.0,2163.0,419.9999999999399,36.75
1603052871.0678,76.0,829.0,2119.0,419.9999999999399,36.75
1603052871.0699,76.0,829.0,2092.0,419.9999999999399,36.75
1603052871.0718,76.0,829.0,2078.0,419.9999999999399,36.75
1603052871.0738,76.0,829.0,2061.0,419.9999999999399,36.75
1603052871.076,76.0,829.0,2056.0,419.9999999999399,36.75
1603052871.0779,76.0,829.0,2054.0,419.9999999999399,36.75
1603052871.0798,76.0,829.0,2022.0,419.9999999999399,36.75
1603052871.0819,76.0,829.0,1976.0,419.9999999999399,36.75
1603052871.0838,76.0,829.0,1949.0,419.9999999999399,36.75
1603052871.0859,76.0,829.0,1923.0,419.9999999999399,36.75
1603052871.0878,76.0,829.0,1881.0,419.9999999999399,36.75
1603052871.0898,76.0,829.0,1857.0,419.9999999999399,36.75
1603052871.0918,76.0,829.0,1843.0,419.9999999999399,36.75
1603052871.094,76.0,829.0,1813.0,419.9999999999399,36.75
1603052871.0959,76.0,829.0,1789.0,419.9999999999399,36.75
1603052871.0978,76.0,829.0,1770.0,419.9999999999399,36.75
1603052871.0998,76.0,829.0,1743.0,419.9999999999399,36.75
1603052871.1018,76.0,829.0,1721.0,419.9999999999399,36.75
1603052871.1038,76.0,829.0,1719.0,419.9999999999399,36.75
1603052871.1059,76.0,829.0,1704.0,419.9999999999399,36.75
1603052871.5021,76.0,829.0,1670.0,419.9999999999399,36.75
1603052871.5029,76.0,829.0,1714.0,419.9999999999399,36.75
1603052871.5055,76.0,829.0,1937.0,419.9999999999399,36.75
1603052871.5079,76.0,829.0,2114.0,419.9999999999399,36.75
1603052871.51,76.0,829.0,1738.0,419.9999999999399,36.75
1603052871.512,76.0,829.0,1071.0,419.9999999999399,36.75
1603052871.5141,76.0,829.0,1047.0,419.9999999999399,36.75
1603052871.516,76.0,829.0,1474.0,419.9999999999399,36.75
1603052871.5179,76.0,829.0,1537.0,419.9999999999399,36.75
1603052871.5199,76.0,829.0,1425.0,419.9999999999399,36.75
1603052871.5219,76.0,829.0,1479.0,419.9999999999399,36.75
1603052871.5239,76.0,829.0,1501.0,419.9999999999399,36.75
1603052871.5259,76.0,829.0,1442.0,419.9999999999399,36.75
1603052871.5279,76.0,829.0,1418.0,419.9999999999399,36.75
1603052871.5299,76.0,829.0,1421.0,419.9999999999399,36.75
1603052871.5319,76.0,829.0,1404.0,419.9999999999399,36.75
1603052871.5339,76.0,829.0,1379.0,419.9999999999399,36.75
1603052871.5359,76.0,829.0,1362.0,419.9999999999399,36.75
1603052871.5379,76.0,829.0,1358.0,419.9999999999399,36.75
1603052871.5399,76.0,829.0,1350.0,419.9999999999399,36.75
1603052871.5419,76.0,829.0,1331.0,419.9999999999399,36.75
1603052871.5439,76.0,829.0,1319.0,419.9999999999399,36.75
1603052871.5459,76.0,829.0,1324.0,419.9999999999399,36.75
1603052871.5479,76.0,829.0,1326.0,419.9999999999399,36.75
1603052871.5499,76.0,829.0,1314.0,419.9999999999399,36.75
1603052871.5519,76.0,829.0,1292.0,419.9999999999399,36.75
1603052871.5539,76.0,829.0,1273.0,419.9999999999399,36.75
1603052871.5559,76.0,829.0,1263.0,419.9999999999399,36.75
1603052871.5579,76.0,829.0,1261.0,419.9999999999399,36.75
1603052871.5599,76.0,829.0,1261.0,419.9999999999399,36.75
1603052871.5619,76.0,829.0,1263.0,419.9999999999399,36.75
1603052871.5639,76.0,829.0,1253.0,419.9999999999399,36.75
1603052871.5659,76.0,829.0,1241.0,419.9999999999399,36.75
1603052871.5679,76.0,829.0,1234.0,419.9999999999399,36.75
1603052871.57,76.0,829.0,1219.0,419.9999999999399,36.75
1603052871.5721,76.0,829.0,1207.0,419.9999999999399,36.75
1603052871.5739,76.0,829.0,1214.0,419.9999999999399,36.75
1603052871.5759,76.0,829.0,1207.0,419.9999999999399,36.75
