,meanTemp,stdTemp,meanNN,stdNN,NNnumjump,rootjumps,meanHR,stdHR
36,34.31,0.0,980.0526315789474,15.467437875664203,0,6.244997998398398,63.0,0.0
37,34.31,0.0,979.0122511485451,15.906354692946126,0,6.244997998398398,63.0,0.0
38,34.31,0.0,977.0105105105105,15.007212623149934,0,6.48074069840786,63.0,0.0
39,34.31,0.0,971.2776162790698,13.283931877614727,0,7.745966692414834,63.0,0.0
40,34.31,0.0,966.9971181556195,9.451936152032246,0,5.196152422706632,63.0,0.0
41,34.31,0.0,972.2798165137615,10.521020567390373,0,4.58257569495584,63.0,0.0
42,34.31,0.0,969.5442073170732,14.671815322818022,0,8.18535277187245,63.0,0.0
43,34.31,0.0,964.6666666666666,16.752593537834745,0,8.0,63.0,0.0
44,34.303333333333335,0.018870547447693106,967.8888888888889,18.32875959208047,0,6.782329983125268,63.0,0.0
45,34.29,0.028305821171539656,974.8888888888889,21.718785032920994,0,6.782329983125268,63.0,0.0
46,34.28169628432956,0.02997622848520826,975.903069466882,23.52937240913277,0,7.0710678118654755,63.0,0.0
47,34.28333333333333,0.029836955314493666,980.8888888888889,20.539035146998696,0,6.164414002968976,63.0,0.0
48,34.28333333333333,0.029836955314493666,983.8888888888889,15.763152120361196,0,6.164414002968976,63.0,0.0
49,34.28333333333333,0.029836955314493666,983.4444444444445,15.439803556889535,0,6.164414002968976,63.0,0.0
50,34.28894230769231,0.028659228904624134,986.2964743589744,20.0340862118251,0,5.830951894845301,63.0,0.0
51,34.296625954198475,0.024990620833244097,988.7435114503817,21.403324712571642,0,6.6332495807108,63.0,0.0
52,34.29,0.028305821171539656,992.4444444444445,20.335757219248485,0,5.196152422706632,62.888888888888886,0.3145091241282065
53,34.27666666666667,0.029836955314493666,1000.2222222222222,15.99673916636261,0,5.196152422706632,62.666666666666664,0.47176368619230974
54,34.27,0.028305821171539656,1011.5555555555555,14.956554064526188,0,5.196152422706632,62.44444444444444,0.4972825885748756
55,34.26956923076923,0.028149922879346107,1016.7046153846154,20.825982577398182,0,5.196152422706632,62.27538461538462,0.4470518972540545
56,34.263333333333335,0.0249633878251203,1019.0,22.057159669434476,0,7.483314773547883,62.111111111111114,0.3145091241282065
57,34.263333333333335,0.0249633878251203,1021.7777777777778,19.728398017753076,0,6.244997998398398,61.888888888888886,0.3145091241282065
58,34.27,0.028305821171539656,1024.0,17.081494051293937,0,6.4031242374328485,61.666666666666664,0.47176368619230974
59,34.271683168316834,0.02884793899041708,1021.023102310231,16.369780491349598,0,6.4031242374328485,61.48184818481848,0.5000831832177478
60,34.26788461538462,0.02746682494217447,1012.4471153846154,11.499337325292029,0,7.874007874011811,61.29807692307692,0.4577804157028905
61,34.27,0.028305821171539656,1006.7777777777778,8.072230661909915,0,4.795831523312719,61.111111111111114,0.3145091241282065
62,34.263333333333335,0.0249633878251203,1006.7777777777778,10.12675425600511,0,4.795831523312719,61.0,0.0
63,34.25666666666667,0.018870547447693106,1010.2222222222222,13.466170098709256,0,4.58257569495584,61.0,0.0
64,34.25655688622754,0.01873354703714062,1007.0883233532934,14.847944391628932,0,7.681145747868608,61.0,0.0
65,34.263333333333335,0.0249633878251203,1007.6666666666666,14.753461768220415,0,6.164414002968976,61.0,0.0
