Time,HR,RR
1606934953.5763,75,839
1606934954.4265,75,861
1606934955.3862,74,895
1606934956.4364,74,845
1606934957.4763,73,836
1606934958.3867,73,823
1606934959.4063,74,821
1606934960.3962,74,807
1606934961.4072,74,811
1606934962.4580,74,801
1606934963.3965,75,798
1606934964.3862,75,802
1606934965.4060,75,800
1606934966.4476,75,785
1606934967.3865,76,817
1606934968.4063,76,829
1606934969.3960,76,822
1606934970.3859,75,830
1606934971.4556,75,816
1606934972.3960,75,798
1606934973.3860,75,874
1606934974.4059,75,885
1606934975.4183,74,887
1606934976.5271,74,853
1606934977.4062,73,831
