,ecg
1606912199.229,600.0
1606912199.2309,591.0
1606912199.2329,583.0
1606912199.2349,581.0
1606912199.2369,586.0
1606912199.239,588.0
1606912199.2414,583.0
1606912199.243,576.0
1606912199.245,576.0
1606912199.2469,579.0
1606912199.249,581.0
1606912199.2509,571.0
1606912199.2529,559.0
1606912199.2549,562.0
1606912199.2569,562.0
1606912199.259,550.0
1606912199.261,542.0
1606912199.2629,542.0
1606912199.2649,538.0
1606912199.2669,530.0
1606912199.269,528.0
1606912199.2709,523.0
1606912199.2729,516.0
1606912199.2749,511.0
1606912199.2771,509.0
1606912199.279,504.0
1606912199.281,497.0
1606912199.2829,494.0
1606912199.2849,492.0
1606912199.2869,487.0
1606912199.2889,484.0
1606912199.2909,482.0
1606912199.293,477.0
1606912199.7183,475.0
1606912199.7192,472.0
1606912199.7217,463.0
1606912199.7243,453.0
1606912199.7263,448.0
1606912199.7283,439.0
1606912199.7302,422.0
1606912199.7322,422.0
1606912199.7342,436.0
1606912199.7362,434.0
1606912199.7382,427.0
1606912199.7402,434.0
1606912199.7423,443.0
1606912199.7442,429.0
1606912199.7462,402.0
1606912199.7482,398.0
1606912199.7502,402.0
1606912199.7521,400.0
1606912199.7542,398.0
1606912199.7561,400.0
1606912199.7582,395.0
1606912199.7601,388.0
1606912199.7622,383.0
1606912199.7641,378.0
1606912199.7662,354.0
1606912199.7682,340.0
1606912199.7701,552.0
1606912199.7722,1131.0
1606912199.7742,1662.0
1606912199.7762,1467.0
1606912199.7782,605.0
1606912199.7801,31.0
1606912199.7823,161.0
1606912199.7842,318.0
1606912199.7862,217.0
1606912199.7883,214.0
1606912199.7902,287.0
1606912199.7921,272.0
1606912199.7942,265.0
1606912199.7961,296.0
1606912199.7982,301.0
1606912199.8001,299.0
1606912199.8023,308.0
1606912199.8042,313.0
1606912199.8061,313.0
1606912199.8082,318.0
1606912199.8101,323.0
1606912199.8121,332.0
1606912199.8142,345.0
1606912199.8162,352.0
1606912199.8182,369.0
1606912199.8202,393.0
1606912199.8222,402.0
1606912199.8242,412.0
1606912199.8262,422.0
1606912199.8282,422.0
1606912199.8301,415.0
1606912199.8321,402.0
1606912199.8341,388.0
1606912199.8362,369.0
1606912199.8381,345.0
1606912199.8402,320.0
1606912199.8421,301.0
1606912199.8441,277.0
1606912199.8461,258.0
1606912199.8482,248.0
1606912199.8502,241.0
1606912199.8521,231.0
1606912199.8542,229.0
1606912199.8562,236.0
1606912199.8582,238.0
1606912199.8602,236.0
1606912199.8622,236.0
1606912200.3472,238.0
1606912200.3482,234.0
1606912200.3507,231.0
1606912200.3533,236.0
1606912200.3554,241.0
1606912200.3573,241.0
1606912200.3593,229.0
1606912200.3613,224.0
1606912200.3633,229.0
1606912200.3653,224.0
1606912200.3673,217.0
1606912200.3692,221.0
1606912200.3712,224.0
1606912200.3733,221.0
1606912200.3752,217.0
1606912200.3772,214.0
1606912200.3793,212.0
1606912200.3813,212.0
1606912200.3833,214.0
1606912200.3852,214.0
1606912200.3874,212.0
1606912200.3892,209.0
1606912200.3912,212.0
1606912200.3932,219.0
1606912200.3952,219.0
1606912200.3972,217.0
1606912200.3992,217.0
1606912200.4012,217.0
1606912200.4032,214.0
1606912200.4052,209.0
1606912200.4072,209.0
1606912200.4092,212.0
1606912200.4112,205.0
1606912200.4132,197.0
1606912200.4152,197.0
