,hr,rr,ecg,gsr,temperature
1602587564.0235,63.0,982.0,8989.0,424.9999999999392,34.25
1602587564.0255,63.0,982.0,8912.0,424.9999999999392,34.25
1602587564.0275,63.0,982.0,8861.0,424.9999999999392,34.25
1602587564.0295,63.0,982.0,8829.0,424.9999999999392,34.25
1602587564.3959,63.0,1003.0,8776.0,424.9999999999392,34.31
1602587564.3963,63.0,1003.0,8711.0,424.9999999999392,34.31
1602587564.3988,63.0,1003.0,8655.0,424.9999999999392,34.31
1602587564.4014,63.0,1003.0,8592.0,424.9999999999392,34.31
1602587564.4034,63.0,1003.0,8517.0,424.9999999999392,34.31
1602587564.4054,63.0,1003.0,8439.0,424.9999999999392,34.31
1602587564.4074,63.0,1003.0,8369.0,424.9999999999392,34.31
1602587564.4094,63.0,1003.0,8310.0,424.9999999999392,34.31
1602587564.4115,63.0,1003.0,8233.0,424.9999999999392,34.31
1602587564.4134,63.0,1003.0,8131.0,424.9999999999392,34.31
1602587564.4154,63.0,1003.0,8049.0,424.9999999999392,34.31
1602587564.4174,63.0,1003.0,7983.0,424.9999999999392,34.31
1602587564.4194,63.0,1003.0,7901.0,424.9999999999392,34.31
1602587564.4214,63.0,1003.0,7813.0,424.9999999999392,34.31
1602587564.4234,63.0,1003.0,7743.0,424.9999999999392,34.31
1602587564.4254,63.0,1003.0,7665.0,424.9999999999392,34.31
1602587564.4274,63.0,1003.0,7559.0,424.9999999999392,34.31
1602587564.4294,63.0,1003.0,7464.0,424.9999999999392,34.31
1602587564.4314,63.0,1003.0,7403.0,424.9999999999392,34.31
1602587564.4333,63.0,1003.0,7331.0,424.9999999999392,34.31
1602587564.4354,63.0,1003.0,7246.0,424.9999999999392,34.31
1602587564.4374,63.0,1003.0,7171.0,424.9999999999392,34.31
1602587564.4394,63.0,1003.0,7108.0,424.9999999999392,34.31
1602587564.4413,63.0,1003.0,7040.0,424.9999999999392,34.31
1602587564.4434,63.0,1003.0,6964.0,424.9999999999392,34.31
1602587564.4455,63.0,1003.0,6897.0,424.9999999999392,34.31
1602587564.4474,63.0,1003.0,6834.0,424.9999999999392,34.31
1602587564.4494,63.0,1003.0,6763.0,424.9999999999392,34.31
1602587564.4515,63.0,1003.0,6693.0,424.9999999999392,34.31
1602587564.4535,63.0,1003.0,6630.0,424.9999999999392,34.31
1602587564.4554,63.0,1003.0,6564.0,424.9999999999392,34.31
1602587564.4574,63.0,1003.0,6492.0,424.9999999999392,34.31
1602587564.4594,63.0,1003.0,6414.0,424.9999999999392,34.31
1602587564.4614,63.0,1003.0,6344.0,424.9999999999392,34.31
1602587564.4634,63.0,1003.0,6281.0,424.9999999999392,34.31
1602587564.4654,63.0,1003.0,6213.0,424.9999999999392,34.31
1602587564.4674,63.0,1003.0,6138.0,424.9999999999392,34.31
1602587564.4694,63.0,1003.0,6072.0,424.9999999999392,34.31
1602587564.4714,63.0,1003.0,6002.0,424.9999999999392,34.31
1602587564.4734,63.0,1003.0,5924.0,424.9999999999392,34.31
1602587564.4755,63.0,1003.0,5842.0,424.9999999999392,34.31
1602587564.4774,63.0,1003.0,5771.0,424.9999999999392,34.31
1602587564.4794,63.0,1003.0,5713.0,424.9999999999392,34.31
1602587564.4814,63.0,1003.0,5648.0,424.9999999999392,34.31
1602587564.4834,63.0,1003.0,5575.0,424.9999999999392,34.31
1602587564.4854,63.0,1003.0,5500.0,424.9999999999392,34.31
1602587564.4874,63.0,1003.0,5437.0,424.9999999999392,34.31
1602587564.4894,63.0,1003.0,5369.0,424.9999999999392,34.31
1602587564.4913,63.0,1003.0,5306.0,424.9999999999392,34.31
1602587564.4934,63.0,1003.0,5255.0,424.9999999999392,34.31
1602587564.4954,63.0,1003.0,5192.0,424.9999999999392,34.31
1602587564.4974,63.0,1003.0,5121.0,424.9999999999392,34.31
1602587564.4994,63.0,1003.0,5066.0,424.9999999999392,34.31
1602587564.5014,63.0,1003.0,5010.0,424.9999999999392,34.31
1602587564.5034,63.0,1003.0,4942.0,424.9999999999392,34.31
1602587564.5053,63.0,1003.0,4867.0,424.9999999999392,34.31
1602587564.5074,63.0,1003.0,4809.0,424.9999999999392,34.31
1602587564.5094,63.0,1003.0,4762.0,424.9999999999392,34.31
1602587564.5114,63.0,1003.0,4709.0,424.9999999999392,34.31
1602587564.5134,63.0,1003.0,4644.0,424.9999999999392,34.31
1602587564.5154,63.0,1003.0,4590.0,424.9999999999392,34.31
1602587564.5174,63.0,1003.0,4544.0,424.9999999999392,34.31
1602587564.5194,63.0,1003.0,4476.0,424.9999999999392,34.31
1602587564.5213,63.0,1003.0,4406.0,424.9999999999392,34.31
1602587564.5234,63.0,1003.0,4357.0,424.9999999999392,34.31
1602587564.5254,63.0,1003.0,4311.0,424.9999999999392,34.31
1602587564.5274,63.0,1003.0,4256.0,424.9999999999392,34.31
1602587564.5293,63.0,1003.0,4205.0,424.9999999999392,34.31
1602587564.5314,63.0,1003.0,4156.0,424.9999999999392,34.31
1602587564.5334,63.0,1003.0,4105.0,424.9999999999392,34.31
1602587564.5354,63.0,1003.0,4052.0,424.9999999999392,34.31
1602587564.5374,63.0,1003.0,4001.0,424.9999999999392,34.31
1602587564.5394,63.0,1003.0,3957.0,424.9999999999392,34.31
1602587564.9362,63.0,1003.0,3919.0,424.9999999999392,34.31
1602587564.9366,63.0,1003.0,3882.0,424.9999999999392,34.31
1602587564.939,63.0,1003.0,3819.0,424.9999999999392,34.31
1602587564.9417,63.0,1003.0,3749.0,424.9999999999392,34.31
1602587564.9437,63.0,1003.0,3705.0,424.9999999999392,34.31
1602587564.9457,63.0,1003.0,3666.0,424.9999999999392,34.31
1602587564.9478,63.0,1003.0,3606.0,424.9999999999392,34.31
1602587564.9497,63.0,1003.0,3547.0,424.9999999999392,34.31
1602587564.9517,63.0,1003.0,3504.0,424.9999999999392,34.31
1602587564.9537,63.0,1003.0,3453.0,424.9999999999392,34.31
1602587564.9557,63.0,1003.0,3397.0,424.9999999999392,34.31
1602587564.9577,63.0,1003.0,3361.0,424.9999999999392,34.31
1602587564.9597,63.0,1003.0,3327.0,424.9999999999392,34.31
1602587564.9616,63.0,1003.0,3278.0,424.9999999999392,34.31
1602587564.9636,63.0,1003.0,3230.0,424.9999999999392,34.31
1602587564.9657,63.0,1003.0,3201.0,424.9999999999392,34.31
1602587564.9677,63.0,1003.0,3225.0,424.9999999999392,34.31
1602587564.9697,63.0,1003.0,3375.0,424.9999999999392,34.31
1602587564.9717,63.0,1003.0,3560.0,424.9999999999392,34.31
1602587564.9737,63.0,1003.0,3349.0,424.9999999999392,34.31
1602587564.9757,63.0,1003.0,2730.0,424.9999999999392,34.31
1602587564.9777,63.0,1003.0,2480.0,424.9999999999392,34.31
1602587564.9797,63.0,1003.0,2759.0,424.9999999999392,34.31
1602587564.9817,63.0,1003.0,2881.0,424.9999999999392,34.31
1602587564.9837,63.0,1003.0,2791.0,424.9999999999392,34.31
1602587564.9857,63.0,1003.0,2803.0,424.9999999999392,34.31
1602587564.9877,63.0,1003.0,2805.0,424.9999999999392,34.31
1602587564.9897,63.0,1003.0,2735.0,424.9999999999392,34.31
1602587564.9917,63.0,1003.0,2699.0,424.9999999999392,34.31
1602587564.9937,63.0,1003.0,2684.0,424.9999999999392,34.31
1602587564.9957,63.0,1003.0,2645.0,424.9999999999392,34.31
