,hr,rr,ecg,gsr,temperature
1602946694.3071,75.0,847.0,1005.0,461.00000000000006,36.25
1602946694.3097,75.0,847.0,4017.0,461.00000000000006,36.25
1602946694.3123,75.0,847.0,7535.0,461.00000000000006,36.25
1602946694.3148,75.0,847.0,9128.0,461.00000000000006,36.25
1602946694.3167,75.0,847.0,9913.0,461.00000000000006,36.25
1602946694.3188,75.0,847.0,11120.0,461.0000000000001,36.25
1602946694.3208,75.0,847.0,11927.0,461.0000000000001,36.25
1602946694.3228,75.0,847.0,12318.0,461.0000000000001,36.25
1602946694.3247,75.0,847.0,12818.0,461.0000000000001,36.25
1602946694.3267,75.0,847.0,13236.0,461.0000000000001,36.25
1602946694.3288,75.0,847.0,13440.0,461.0000000000001,36.25
1602946694.3307,75.0,847.0,13639.0,461.0000000000001,36.25
1602946694.3327,75.0,847.0,13848.0,461.0000000000001,36.25
1602946694.3348,75.0,847.0,13950.0,461.0000000000001,36.25
1602946694.3367,75.0,847.0,14004.0,461.00000000000017,36.25
1602946694.3387,75.0,847.0,14077.0,461.00000000000017,36.25
1602946694.3408,75.0,847.0,14123.0,461.00000000000017,36.25
1602946694.3427,75.0,847.0,14120.0,461.00000000000017,36.25
1602946694.3448,75.0,847.0,14111.0,461.00000000000017,36.25
1602946694.3467,75.0,847.0,14108.0,461.00000000000017,36.25
1602946694.3487,75.0,847.0,14094.0,461.00000000000017,36.25
1602946694.3507,75.0,847.0,14028.0,461.00000000000017,36.25
1602946694.3527,75.0,847.0,13955.0,461.00000000000017,36.25
1602946694.3547,75.0,847.0,13916.0,461.00000000000017,36.25
1602946694.3568,75.0,847.0,13846.0,461.00000000000017,36.25
1602946694.3588,75.0,847.0,13749.0,461.0000000000002,36.25
1602946694.3607,75.0,847.0,13681.0,461.0000000000002,36.25
1602946694.3627,75.0,847.0,13622.0,461.0000000000002,36.25
1602946694.3647,75.0,847.0,13528.0,461.0000000000002,36.25
1602946694.3667,75.0,847.0,13426.0,461.0000000000002,36.25
1602946694.3686,75.0,847.0,13346.0,461.0000000000002,36.25
1602946694.3706,75.0,847.0,13263.0,461.0000000000002,36.25
1602946694.3727,75.0,847.0,13161.0,461.0000000000002,36.25
1602946694.3747,75.0,847.0,13054.0,461.0000000000002,36.25
1602946694.3766,75.0,847.0,12954.0,461.0000000000002,36.25
1602946694.3786,75.0,847.0,12862.0,461.0000000000002,36.25
1602946694.3806,75.0,847.0,12767.0,461.0000000000002,36.25
1602946694.3826,75.0,847.0,12663.0,461.0000000000002,36.25
1602946694.3847,75.0,847.0,12568.0,461.0000000000002,36.25
1602946694.3866,75.0,847.0,12471.0,461.0000000000002,36.25
1602946694.3888,75.0,847.0,12367.0,461.0000000000002,36.25
1602946694.3908,75.0,847.0,12265.0,461.0000000000003,36.25
1602946694.3927,75.0,847.0,12167.0,461.0000000000003,36.25
1602946694.3947,75.0,847.0,12082.0,461.0000000000003,36.25
1602946694.3966,75.0,847.0,11975.0,461.0000000000003,36.25
1602946694.3986,75.0,847.0,11859.0,461.0000000000003,36.25
1602946694.4006,75.0,847.0,11774.0,461.0000000000003,36.25
1602946694.4026,75.0,847.0,11691.0,461.0000000000003,36.25
1602946694.4047,75.0,847.0,11587.0,461.0000000000003,36.25
1602946694.4067,75.0,847.0,11475.0,461.0000000000003,36.25
1602946694.4094,75.0,847.0,11378.0,460.99999999993395,36.25
1602946694.4107,75.0,847.0,11293.0,460.99999999993395,36.25
1602946694.4126,75.0,847.0,11179.0,460.99999999993395,36.25
1602946694.4146,75.0,847.0,11065.0,460.99999999993395,36.25
1602946694.4166,75.0,847.0,10967.0,460.99999999993395,36.25
1602946694.4186,75.0,847.0,10860.0,460.99999999993395,36.25
1602946694.4207,75.0,847.0,10754.0,460.99999999993395,36.25
1602946694.4228,75.0,847.0,10666.0,460.99999999993395,36.25
1602946694.4246,75.0,847.0,10596.0,460.99999999993395,36.25
1602946694.4266,75.0,847.0,10513.0,460.99999999993395,36.25
1602946694.4286,75.0,847.0,10401.0,460.99999999993395,36.25
1602946694.4306,75.0,847.0,10290.0,460.99999999993395,36.25
1602946694.4326,75.0,847.0,10219.0,460.99999999993395,36.25
1602946694.4346,75.0,847.0,10273.0,460.99999999993395,36.25
1602946694.4366,75.0,847.0,10452.0,460.99999999993395,36.25
1602946694.4387,75.0,847.0,10409.0,460.99999999993395,36.25
1602946694.4406,75.0,847.0,9816.0,460.99999999993395,36.25
1602946694.4426,75.0,847.0,9235.0,460.99999999993395,36.25
1602946694.4446,75.0,847.0,9347.0,460.99999999993395,36.25
1602946694.4466,75.0,847.0,9619.0,460.99999999993395,36.25
1602946694.4486,75.0,847.0,9517.0,460.99999999993395,36.25
1602946694.4506,75.0,847.0,9393.0,460.99999999993395,36.25
1602946694.4526,75.0,847.0,9376.0,460.99999999993395,36.25
1602946694.8439,75.0,847.0,9286.0,460.99999999993395,36.25
1602946694.8448,75.0,847.0,9175.0,460.99999999993395,36.25
1602946694.8463,75.0,847.0,9111.0,460.99999999993395,36.25
1602946694.8483,75.0,847.0,9024.0,460.99999999993395,36.25
1602946694.8504,75.0,847.0,8929.0,460.99999999993395,36.25
1602946694.8523,75.0,847.0,8869.0,460.99999999993395,36.25
1602946694.8544,75.0,847.0,8788.0,460.99999999993395,36.25
1602946694.8563,75.0,847.0,8686.0,460.99999999993395,36.25
1602946694.8583,75.0,847.0,8626.0,460.99999999993395,36.25
1602946694.8603,75.0,847.0,8587.0,460.99999999993395,36.25
1602946694.8623,75.0,847.0,8492.0,460.99999999993395,36.25
1602946694.8644,75.0,847.0,8363.0,460.99999999993395,36.25
1602946694.8663,75.0,847.0,8305.0,460.99999999993395,36.25
1602946694.8683,75.0,847.0,8281.0,460.99999999993395,36.25
