,hr,rr,ecg,gsr,temperature
1602662316.1839,64.0,953.0,141.0,446.00000000000017,36.56
1602662316.1864,64.0,953.0,806.0,446.00000000000017,36.56
1602662316.189,64.0,953.0,2027.0,446.00000000000017,36.56
1602662316.1916,64.0,953.0,2978.0,446.00000000000017,36.56
1602662316.1936,64.0,953.0,3497.0,446.00000000000017,36.56
1602662316.1956,64.0,953.0,4063.0,446.00000000000017,36.56
1602662316.1978,64.0,953.0,4616.0,446.00000000000017,36.56
1602662316.1997,64.0,953.0,5011.0,446.00000000000017,36.56
1602662316.2017,64.0,953.0,5384.0,446.00000000000017,36.56
1602662316.2037,64.0,953.0,5754.0,446.00000000000017,36.56
1602662316.2054,64.0,953.0,6061.0,446.0000000000001,36.56
1602662316.2074,64.0,953.0,6354.0,446.0000000000001,36.56
1602662316.2094,64.0,953.0,6639.0,446.0000000000001,36.56
1602662316.2114,64.0,953.0,6883.0,446.0000000000001,36.56
1602662316.2134,64.0,953.0,7114.0,446.0000000000001,36.56
1602662316.2154,64.0,953.0,7341.0,446.0000000000001,36.56
1602662316.2174,64.0,953.0,7545.0,446.0000000000001,36.56
1602662316.2193,64.0,953.0,7728.0,446.0000000000001,36.56
1602662316.2214,64.0,953.0,7899.0,446.0000000000001,36.56
1602662316.2234,64.0,953.0,8072.0,446.0000000000001,36.56
1602662316.2254,64.0,953.0,8245.0,446.0000000000001,36.56
1602662316.2274,64.0,953.0,8384.0,446.0000000000001,36.56
1602662316.2294,64.0,953.0,8506.0,446.0000000000001,36.56
1602662316.2314,64.0,953.0,8650.0,446.0000000000001,36.56
1602662316.2334,64.0,953.0,8784.0,446.0000000000001,36.56
1602662316.2355,64.0,953.0,8886.0,446.0000000000001,36.56
1602662316.2374,64.0,953.0,8984.0,446.0000000000001,36.56
1602662316.2394,64.0,953.0,9096.0,446.0000000000001,36.56
1602662316.2414,64.0,953.0,9196.0,446.0000000000001,36.56
1602662316.2434,64.0,953.0,9269.0,446.0000000000001,36.56
1602662316.2453,64.0,953.0,9339.0,446.0000000000001,36.56
1602662316.2473,64.0,953.0,9427.0,446.00000000000006,36.56
1602662316.2493,64.0,953.0,9493.0,446.00000000000006,36.56
1602662316.2513,64.0,953.0,9537.0,446.00000000000006,36.56
1602662316.2533,64.0,953.0,9590.0,446.00000000000006,36.56
1602662316.2553,64.0,953.0,9654.0,446.00000000000006,36.56
1602662316.2573,64.0,953.0,9700.0,446.00000000000006,36.56
1602662316.2593,64.0,953.0,9737.0,446.00000000000006,36.56
1602662316.2613,64.0,953.0,9778.0,446.00000000000006,36.56
1602662316.2633,64.0,953.0,9812.0,446.00000000000006,36.56
1602662316.2653,64.0,953.0,9837.0,446.00000000000006,36.56
1602662316.2673,64.0,953.0,9863.0,446.00000000000006,36.56
1602662316.2693,64.0,953.0,9885.0,446.00000000000006,36.56
1602662316.2713,64.0,953.0,9902.0,446.00000000000006,36.56
1602662316.2733,64.0,953.0,9917.0,446.00000000000006,36.56
1602662316.2753,64.0,953.0,9919.0,446.00000000000006,36.56
1602662316.2773,64.0,953.0,9924.0,446.00000000000006,36.56
1602662316.2793,64.0,953.0,9941.0,446.00000000000006,36.56
1602662316.2813,64.0,953.0,9937.0,446.00000000000006,36.56
1602662316.2833,64.0,953.0,9917.0,446.00000000000006,36.56
1602662316.286,64.0,953.0,9924.0,445.9999999999362,36.56
1602662316.2873,64.0,953.0,9934.0,445.9999999999362,36.56
1602662316.2892,64.0,953.0,9902.0,445.9999999999362,36.56
1602662316.2912,64.0,953.0,9863.0,445.9999999999362,36.56
1602662316.2932,64.0,953.0,9851.0,445.9999999999362,36.56
1602662316.2953,64.0,953.0,9837.0,445.9999999999362,36.56
1602662316.2972,64.0,953.0,9810.0,445.9999999999362,36.56
1602662316.2992,64.0,953.0,9781.0,445.9999999999362,36.56
1602662316.3012,64.0,953.0,9749.0,445.9999999999362,36.56
1602662316.3033,64.0,953.0,9720.0,445.9999999999362,36.56
1602662316.3053,64.0,953.0,9688.0,445.9999999999362,36.56
1602662316.3072,64.0,953.0,9644.0,445.9999999999362,36.56
1602662316.3092,64.0,953.0,9610.0,445.9999999999362,36.56
