Time,GSR,Temp(C)
1604491771.1892,144,35.31
1604491772.0589,76,35.31
1604491772.9590,143,35.31
1604491773.8952,135,35.31
1604491774.7283,133,35.38
1604491775.5981,134,35.31
1604491776.4683,132,35.31
1604491777.3682,124,35.38
1604491778.3612,120,35.31
1604491779.1384,117,35.38
1604491780.0755,117,35.38
1604491780.8782,117,35.38
1604491781.7781,113,35.38
1604491782.6483,113,35.38
1604491783.5481,115,35.31
1604491784.5366,117,35.31
1604491785.3182,118,35.38
1604491786.1946,120,35.38
1604491787.0582,121,35.38
1604491787.9581,125,35.38
1604491788.8283,125,35.38
1604491789.7282,125,35.38
1604491790.7339,127,35.38
1604491791.4681,128,35.38
1604491792.3728,128,35.38
1604491793.2381,127,35.38
1604491794.1381,127,35.38
1604491795.0082,127,35.38
1604491795.9081,124,35.38
1604491796.7783,119,35.38
1604491797.6482,115,35.38
1604491798.5490,113,35.44
1604491799.4182,114,35.44
1604491800.3180,116,35.38
1604491801.1881,117,35.44
1604491802.0580,115,35.44
1604491803.0176,116,35.44
1604491803.8280,119,35.44
1604491804.7280,114,35.44
1604491805.5981,109,35.44
1604491806.4980,121,35.44
1604491807.3681,120,35.44
1604491808.2380,121,35.44
1604491809.1970,121,35.44
1604491810.0080,117,35.44
1604491810.9080,108,35.44
1604491811.7781,107,35.44
1604491812.6480,117,35.44
1604491813.5481,117,35.44
1604491814.4179,117,35.44