Time,HR,RR
1605963219.4732,74,814
1605963220.4656,74,829
1605963221.5250,74,818
1605963222.5059,74,851
1605963223.4633,74,889
1605963224.4832,74,912
1605963225.4732,73,916
1605963226.6001,73,894
1605963227.4832,72,890
1605963228.4735,72,881
1605963229.4630,71,868
1605963230.5129,71,828
1605963231.6450,71,843
1605963232.4632,72,836
1605963233.4831,72,801
1605963234.4730,73,796
1605963235.5692,74,767
1605963236.4828,74,772
1605963237.5029,75,757
1605963238.4630,76,738
1605963239.5059,77,736
1605963240.6384,78,738
1605963241.4633,79,733
1605963242.4829,79,739
1605963243.4729,80,744
1605963244.5399,80,761
1605963245.5128,80,748
1605963246.4729,81,706
1605963247.4653,82,690
1605963248.4928,83,669
1605963249.5799,85,666
1605963250.4627,86,678
1605963251.4828,87,664
1605963252.4726,88,642
1605963253.4920,90,646
1605963254.4828,90,719
1605963255.4725,90,765
1605963256.4630,88,788
1605963257.4828,86,842
1605963258.5488,84,854
1605963259.4627,83,859
1605963260.4825,82,841
1605963261.4728,80,808
1605963262.4825,80,805
1605963263.5923,79,853
1605963264.4727,79,872
1605963265.4625,78,875
1605963266.4824,77,917
1605963267.5519,76,939
1605963268.4626,75,950
1605963269.4829,73,932
1605963270.4726,73,915
1605963271.5180,72,895
1605963272.5940,72,869
1605963273.4725,71,863
1605963274.4625,71,871
1605963275.4824,71,845
1605963276.4888,71,851
1605963277.6088,71,861
1605963278.5125,72,852
1605963279.5019,72,835
1605963280.4922,72,816
1605963281.5656,72,813
1605963282.5107,73,793
1605963283.4622,73,829
1605963284.4820,74,838
1605963285.5190,74,852
1605963286.5997,74,878
1605963287.4830,73,893
1605963288.4725,72,900
1605963289.4623,72,877
1605963290.5274,72,870
1605963291.4721,72,880
1605963292.4621,72,874
1605963293.4822,71,905
1605963294.4719,71,933
1605963295.6566,71,933
1605963296.4826,70,929
1605963297.4719,69,950
1605963298.4620,69,881
1605963299.5162,69,859
1605963300.6104,69,829
1605963301.4621,70,825
1605963302.4820,70,848
1605963303.5017,71,892
1605963304.5348,71,917
1605963305.4820,70,913
1605963306.4719,70,891
1605963307.4620,70,878
1605963308.5101,70,799
1605963309.6140,71,780
1605963310.4618,72,745
1605963311.5116,73,770
1605963312.4975,74,818
1605963313.5146,74,828
1605963314.6131,74,818
1605963315.4717,74,834
1605963316.4616,74,822
1605963317.4818,74,795
1605963318.6197,75,786
1605963319.4614,75,833
1605963320.4816,75,867
1605963321.4716,75,900
1605963322.5070,74,953
1605963323.6286,74,978
1605963324.4715,73,981
1605963325.4615,72,949
1605963326.4815,71,935
1605963327.5477,70,907
1605963328.4626,70,870
1605963329.4819,70,878
1605963330.4718,70,904
1605963331.4615,70,966
1605963332.6524,69,963
1605963333.4714,69,960
1605963334.4914,68,974
1605963335.4513,68,922
1605963336.5502,68,895
1605963337.4618,68,863
1605963338.4515,68,808
1605963339.5014,69,800
1605963340.4612,70,819
1605963341.5603,70,873
1605963342.4722,70,867
1605963343.4638,70,876
1605963344.4512,70,887
1605963345.5150,70,870
1605963346.6271,70,857
1605963347.4512,71,879
1605963348.4712,71,893
1605963349.4815,70,900
1605963350.5823,70,905
1605963351.4711,70,913
1605963352.4612,70,903
1605963353.4512,69,866
1605963354.4711,70,859
1605963355.6241,70,854
1605963356.4511,70,836
1605963357.5012,70,841
1605963358.4610,71,858
1605963359.5486,71,860
1605963360.4712,71,860
1605963361.4621,71,871
1605963362.4810,71,868
1605963363.4710,71,829
1605963364.5744,71,822
1605963365.4512,71,810
1605963366.4712,72,800
1605963367.4608,73,817
1605963368.4623,73,847
1605963369.4709,73,850
1605963370.4610,73,838
1605963371.4512,73,870
1605963372.4940,73,867
1605963373.5763,72,855
1605963375.4394,72,827
1605963375.7403,73,806
1605963376.4590,73,743
