Time,HR,RR
1604521751.4357,83,675
1604521752.4251,85,646
1604521753.4147,86,635
1604521754.4346,88,639
1604521755.4246,89,684
1604521756.5676,89,787
1604521757.4348,83,920
1604521758.4247,78,916
1604521759.4146,77,983
1604521760.4946,76,1045
1604521761.4249,74,965
1604521762.4146,73,794
1604521763.4346,73,766
1604521764.4245,73,801
1604521765.5015,74,920
1604521766.4348,73,1008
1604521767.4245,71,910
1604521768.4144,71,963
1604521769.4344,70,994
1604521770.4248,69,1063
1604521771.4152,68,1023
1604521772.4345,68,863
1604521773.4243,67,898
1604521774.5339,68,923
1604521775.4347,68,854
1604521776.4245,68,831
1604521777.4143,69,844
1604521778.4343,69,891
1604521779.5114,70,824
1604521780.4445,71,783
1604521781.4344,72,841
1604521782.4242,72,912
1604521783.4954,72,918
1604521784.4347,71,830
1604521785.4243,72,852
1604521786.4143,72,761
1604521787.4343,72,751
1604521788.5038,73,777
1604521789.4144,74,846
1604521790.4342,73,985
1604521791.4241,72,879
1604521792.4356,72,881
1604521793.4345,72,944
1604521794.4241,71,970
1604521795.4142,70,896
1604521796.4340,70,818
1604521797.5045,70,854
1604521798.4141,70,910
1604521799.4344,70,1034
1604521800.4239,69,931
1604521801.4354,68,813
1604521802.5511,69,810
1604521803.4241,69,861
1604521804.4140,70,946
1604521805.4339,69,864
1604521806.4456,69,837
1604521807.4140,69,873
1604521808.4341,70,873
1604521809.4239,70,881
1604521810.4138,70,948
1604521811.5129,69,1015
1604521812.4240,69,1049
1604521813.4440,67,1062
1604521814.4338,66,825
1604521815.4449,67,832
1604521816.5528,68,889
1604521817.4340,68,992
1604521818.4240,68,1011
1604521819.4139,67,913
1604521820.5438,67,900
1604521821.4240,67,1003
1604521822.4138,67,999
1604521823.4338,66,891
1604521824.4438,67,894
1604521825.5828,67,963
1604521826.4339,67,955
