Time,HR,RR
1607014415.0172,77,688
1607014416.1462,79,736
1607014416.9975,79,863
1607014418.0175,78,913
1607014419.0071,77,897
1607014420.0452,76,876
1607014421.0175,75,838
1607014422.0074,75,835
1607014422.9979,75,830
1607014424.0171,74,815
1607014425.0867,74,778
1607014425.9973,75,805
1607014427.0173,75,885
1607014428.0071,74,784
1607014429.0467,74,735
1607014430.0173,76,758
1607014431.0072,76,851
1607014431.9970,76,872
1607014433.0170,75,874
1607014434.0886,74,848
1607014434.9974,75,773
1607014436.0471,75,734
1607014437.0070,76,734
1607014438.0560,77,779
1607014439.0174,77,1076
1607014440.0075,76,930
1607014440.9970,74,954
1607014442.0169,73,961
1607014443.0574,72,900
1607014443.9972,71,855
1607014445.0173,71,845
1607014446.0069,71,885
1607014447.0173,71,864
1607014448.1263,71,962
1607014449.0072,71,991
1607014449.9968,70,992
1607014451.0168,69,924
1607014452.0257,69,826
1607014453.0271,70,724
1607014454.0470,73,714
1607014455.0068,74,759
1607014455.9967,75,744
1607014457.1069,76,717
1607014458.0071,77,873
1607014458.9968,77,1024
1607014460.0166,76,989
1607014461.0067,74,978
1607014462.1063,73,970
1607014463.0168,72,962
1607014464.0068,71,919
1607014464.9965,70,925
1607014466.0700,70,nan
1607014467.0111,70,927
1607014468.0036,69,1030
1607014469.0562,69,1091
1607014470.0184,68,1053
1607014471.1223,67,1017
1607014472.0333,65,1031
1607014473.0251,65,949
1607014474.0168,64,977
1607014475.0605,64,1004
1607014476.0308,64,977
1607014477.0222,64,1039
1607014478.0433,64,1009
1607014479.0346,63,946
1607014480.1374,63,911
1607014481.0472,64,939
1607014482.0383,64,927
1607014483.0293,64,980
1607014484.0502,64,988
1607014485.1522,64,965
1607014486.0323,64,1012
1607014487.0528,64,935
1607014488.0435,64,957
1607014489.0846,64,892
1607014490.0552,64,989
1607014491.0756,64,968
1607014492.0363,64,921
1607014493.0566,64,848
1607014494.1588,65,851
1607014495.0381,65,951
1607014496.0584,66,925
1607014497.0485,66,872
1607014498.0883,66,835
1607014499.1996,67,885
1607014500.0506,67,1013
1607014501.0400,67,985
1607014502.0903,66,922
1607014503.1605,66,855
1607014504.0412,67,884
1607014505.0913,67,820
1607014506.0515,68,830
1607014507.0636,68,887
1607014508.1727,69,901
1607014509.0525,69,776
1607014510.0422,69,750
1607014511.0623,70,789
1607014512.1044,71,883
1607014513.0431,72,911
1607014514.0629,71,933
1607014515.0530,70,879
1607014516.0430,70,894
1607014517.1730,70,831
1607014518.0534,70,866
1607014519.0434,70,963
1607014520.0634,70,984
1607014521.1045,69,999
1607014522.0440,69,973
1607014523.0639,68,934
1607014524.0536,67,960
1607014525.0437,67,889
1607014526.1137,68,971
1607014527.0540,68,898
1607014528.0439,67,953
1607014529.0650,67,974
1607014530.0745,67,897
1607014531.0444,67,985
1607014532.0643,67,977
1607014533.1143,66,940
1607014534.0442,66,889
1607014535.1235,67,837
1607014536.0544,67,817
1607014537.0444,68,857
1607014538.0643,68,879
1607014539.0543,69,917
1607014540.1844,69,860
1607014541.0646,69,862
1607014542.0546,69,822
1607014543.0443,70,744
1607014544.1161,71,714
1607014545.0547,72,713
1607014546.0446,75,785
1607014547.0644,75,920
1607014548.0545,75,935
1607014549.1261,74,931
1607014550.0646,73,878
1607014551.0545,72,823
1607014552.0444,73,752
1607014553.0645,74,754
1607014554.0849,75,756
1607014555.0449,75,829
1607014556.0956,75,793
1607014557.0545,76,718
1607014558.1241,77,721
1607014559.0650,78,743
1607014560.0547,78,758
1607014561.0447,79,723
1607014562.0645,79,799
1607014563.1660,79,918
1607014564.0446,77,875
1607014565.0646,77,787
