,gsr,temp
1606937144.0543,32119.597079358286,-0.07356020942408747
1606937145.6443,31987.29449915608,-0.07356020942408747
1606937147.2942,31594.386409201237,-0.07356020942408747
1606937148.8626,25925.212797182285,-0.07356020942408747
1606937150.4447,23859.798623102288,-0.07356020942408747
1606937152.0345,20161.3979609647,-0.07356020942408747
1606937153.6544,17651.044824964152,-0.07356020942408747
1606937155.2443,20240.309439552308,-0.07356020942408747
1606937156.8343,16971.352419118557,-0.07356020942408747
1606937158.4542,17444.527406045992,-0.07356020942408747
1606937160.0819,18000.349725077238,-0.07356020942408747
1606937161.6343,18356.196621005467,-0.07356020942408747
1606937163.2243,18718.77103377282,-0.07356020942408747
1606937164.8443,19013.80355860529,-0.07356020942408747
1606937166.4342,19238.045560782826,-0.07356020942408747
1606937168.0242,19541.075742719386,-0.07356020942408747
1606937169.6443,19771.437867295692,-0.07356020942408747
1606937171.3256,20004.49985170944,-0.07356020942408747
1606937172.8245,20161.3979609647,-0.07356020942408747
1606937174.4154,20399.066366471823,-0.07356020942408747
1606937176.0344,20720.36809560493,-0.07356020942408747
1606937177.6243,20882.943143812714,-0.07356020942408747
1606937179.2143,21046.82154924553,-0.07356020942408747
1606937180.8619,21212.019048421767,-0.07356020942408747
1606937182.513,21295.117445236217,-0.07356020942408747
1606937184.0147,21462.323648813377,-0.07356020942408747
1606937185.6045,21630.889411564378,-0.07356020942408747
1606937187.2251,21800.831383109464,-0.07356020942408747
1606937188.8144,21886.323724675553,-0.07356020942408747
1606937190.4048,22058.36182611875,-0.07356020942408747
1606937192.0796,22231.8189670064,-0.07356020942408747
1606937193.8207,22319.085175207994,-0.07356020942408747
1606937195.2057,22494.70402276999,-0.013560209424085201
1606937196.7952,22583.061180056615,-0.013560209424085201
1606937198.4145,22583.061180056615,-0.013560209424085201
1606937200.0055,22494.70402276999,-0.013560209424085201
1606937201.6195,22583.061180056615,-0.013560209424085201
1606937203.3336,22671.786536342715,-0.013560209424085201
1606937204.8055,22760.882397953614,-0.013560209424085201
1606937206.3956,22940.194959163964,-0.013560209424085201
1606937208.0157,23121.017703992773,-0.013560209424085201
1606937209.6056,23121.017703992773,-0.013560209424085201
1606937211.2805,23303.369791436042,-0.013560209424085201
1606937212.8372,23487.270705947754,-0.013560209424085201
1606937214.5686,23672.740264380143,-0.013560209424085201
1606937215.9967,23487.270705947754,-0.013560209424085201
1606937217.6453,23579.808152942885,0.04643979057591707
1606937219.2063,23672.740264380143,-0.013560209424085201
1606937220.7959,23395.1254146282,-0.013560209424085201
1606937222.3847,23487.270705947754,-0.013560209424085201
1606937224.0346,23487.270705947754,-0.013560209424085201
1606937225.7289,23487.270705947754,-0.013560209424085201
1606937227.185,22671.786536342715,-0.013560209424085201
1606937228.865,22494.70402276999,0.04643979057591707
1606937230.3943,22058.36182611875,0.04643979057591707
1606937231.9857,21972.166486045695,0.04643979057591707
1606937233.6049,22231.8189670064,0.04643979057591707
1606937235.2696,21129.254418707358,0.04643979057591707
1606937236.7864,21295.117445236217,0.04643979057591707
1606937238.3755,21462.323648813377,-0.013560209424085201
1606937239.9955,21295.117445236217,0.04643979057591707
1606937241.5855,21546.435551023882,0.04643979057591707
1606937243.176,21046.82154924553,0.04643979057591707
1606937244.8056,21129.254418707358,0.04643979057591707
1606937246.5023,21378.551632216986,0.04643979057591707
1606937247.9794,21462.323648813377,0.04643979057591707
1606937249.5649,21630.889411564378,0.04643979057591707
1606937251.1849,21715.687320038396,0.04643979057591707
1606937252.7744,21886.323724675553,0.04643979057591707
1606937254.3654,21972.1664860457,0.04643979057591707
1606937256.0538,28652.73631840797,0.04643979057591707
1606937257.6774,26551.547679967643,0.04643979057591707
1606937259.1643,23395.125414628204,0.04643979057591707
1606937260.7858,22940.194959163964,0.04643979057591707
1606937262.3763,22940.194959163964,0.11643979057591736
1606937263.9656,18500.408460546656,0.11643979057591736
1606937265.5667,22494.70402276999,0.11643979057591736
1606937267.2201,18572.921802583576,0.11643979057591736
1606937268.7657,18645.70880961085,0.11643979057591736
1606937270.3546,19088.265566136728,0.11643979057591736
1606937271.9743,19163.012354578408,0.11643979057591736
1606937273.5641,19238.045560782826,0.11643979057591736
1606937275.1541,19541.075742719386,0.11643979057591736
1606937276.7815,19848.82287623647,0.11643979057591736
1606937278.4535,19694.35283373079,0.11643979057591736
1606937279.9545,19464.88024374988,0.11643979057591736
1606937281.5442,19541.075742719386,0.11643979057591736
1606937283.1644,19541.075742719386,0.11643979057591736
1606937284.7543,20319.53162847749,0.11643979057591736
1606937286.3442,25516.93643165502,0.11643979057591736
1606937287.9633,21295.117445236217,0.11643979057591736
1606937289.5546,21129.254418707358,0.11643979057591736
1606937291.1443,18939.624707580515,0.17643979057591253
1606937292.7342,17789.9933340418,0.17643979057591253
1606937294.3243,18141.89320956356,0.11643979057591736
1606937295.9443,23121.017703992773,0.11643979057591736
1606937297.5355,21212.019048421767,0.17643979057591253
1606937299.2139,20082.795368377912,0.17643979057591253
1606937300.8634,17859.852884243133,0.17643979057591253
1606937302.3344,19694.35283373079,0.17643979057591253
1606937303.9243,20161.3979609647,0.11643979057591736
1606937305.5143,16971.352419118557,0.17643979057591253
1606937307.1343,17859.852884243133,0.17643979057591253
1606937308.7518,17651.044824964152,0.17643979057591253
1606937310.4002,19848.82287623647,0.17643979057591253
1606937311.9344,18572.921802583576,0.17643979057591253
1606937313.5244,22406.71277725982,0.17643979057591253
1606937315.1144,19238.045560782826,0.17643979057591253
1606937316.7042,24238.764108479794,0.17643979057591253
1606937318.3243,23121.017703992773,0.17643979057591253
1606937319.951,22671.786536342715,0.17643979057591253
1606937321.6232,19694.35283373079,0.17643979057591253
1606937323.0943,18213.061104869834,0.17643979057591253
1606937324.6843,20882.9431438127,0.17643979057591253
