,hr,rr
1607014742.1775,1.970684039087942,58.885993485342055
1607014743.0486,1.970684039087942,49.885993485342055
1607014744.0381,0.9706840390879421,42.885993485342055
1607014745.058,0.9706840390879421,59.885993485342055
1607014746.1024,-0.029315960912057903,28.885993485342055
1607014747.0384,-1.029315960912058,35.885993485342055
1607014748.0585,-1.029315960912058,-24.114006514657945
1607014749.0481,-1.029315960912058,-45.114006514657945
1607014750.0379,-0.029315960912057903,-98.11400651465794
1607014751.1178,0.9706840390879421,-167.11400651465794
1607014752.0481,1.970684039087942,-131.11400651465794
1607014753.038,3.970684039087942,-99.11400651465794
1607014754.058,3.970684039087942,125.88599348534206
1607014755.1082,3.970684039087942,72.88599348534206
1607014756.0381,2.970684039087942,11.885993485342055
1607014757.0583,0.9706840390879421,89.88599348534206
1607014758.048,-0.029315960912057903,-27.114006514657945
1607014759.1217,-0.029315960912057903,1.8859934853420555
1607014760.1131,-0.029315960912057903,38.885993485342055
1607014761.0784,-0.029315960912057903,-23.114006514657945
1607014762.038,-0.029315960912057903,97.88599348534206
1607014763.0879,-0.029315960912057903,61.885993485342055
1607014764.0775,-1.029315960912058,77.88599348534206
1607014765.2161,-2.029315960912058,140.88599348534206
1607014766.0883,-2.029315960912058,78.88599348534206
1607014767.0779,-3.029315960912058,204.88599348534206
1607014768.0379,-3.029315960912058,185.88599348534206
1607014769.1379,-4.029315960912058,133.88599348534206
1607014770.0485,-5.029315960912058,176.88599348534206
1607014771.038,-6.029315960912058,175.88599348534206
1607014772.058,-6.029315960912058,109.88599348534206
1607014773.0779,-7.029315960912058,37.885993485342055
1607014774.1185,-7.029315960912058,27.885993485342055
1607014775.0582,-6.029315960912058,105.88599348534206
1607014776.0479,-6.029315960912058,-14.114006514657945
1607014777.0379,-6.029315960912058,21.885993485342055
1607014778.0877,-5.029315960912058,-62.114006514657945
1607014779.0483,-5.029315960912058,91.88599348534206
1607014780.038,-4.029315960912058,75.88599348534206
1607014781.0579,-5.029315960912058,107.88599348534206
1607014782.048,-5.029315960912058,62.885993485342055
1607014783.1183,-5.029315960912058,56.885993485342055
1607014784.0583,-5.029315960912058,78.88599348534206
1607014785.048,-5.029315960912058,42.885993485342055
1607014786.0379,-5.029315960912058,88.88599348534206
1607014787.1096,-5.029315960912058,121.88599348534206
1607014788.1568,-5.029315960912058,131.88599348534206
1607014789.038,-6.029315960912058,251.88599348534206
1607014790.0579,-6.029315960912058,126.88599348534206
1607014791.0477,-7.029315960912058,173.88599348534206
1607014792.1176,-7.029315960912058,139.88599348534206
1607014793.0584,-8.029315960912058,160.88599348534206
1607014794.0479,-8.029315960912058,246.88599348534206
1607014795.0379,-9.029315960912058,200.88599348534206
1607014796.0578,-9.029315960912058,210.88599348534206
1607014797.1586,-10.029315960912058,215.88599348534206
1607014798.0682,-10.029315960912058,213.38599348534206
1607014799.0877,-10.029315960912058,210.88599348534206
1607014800.0777,-11.029315960912058,222.88599348534206
1607014801.0975,-11.029315960912058,220.88599348534206
1607014802.0581,-11.029315960912058,224.88599348534206
1607014803.0476,-12.029315960912058,222.88599348534206
1607014804.0375,-12.029315960912058,217.88599348534206
1607014805.0574,-12.029315960912058,221.88599348534206
1607014806.1283,-12.029315960912058,187.88599348534206
1607014807.0378,-12.029315960912058,228.88599348534206
1607014808.0577,-13.029315960912058,209.88599348534206
1607014809.0475,-13.029315960912058,150.88599348534206
1607014810.0553,-13.029315960912058,194.88599348534206
1607014811.1658,-13.029315960912058,120.88599348534206
1607014812.0478,-12.029315960912058,197.88599348534206
1607014813.0376,-12.029315960912058,101.88599348534206
1607014814.0578,-12.029315960912058,129.88599348534206
1607014815.068,-12.029315960912058,141.88599348534206
1607014816.038,-12.029315960912058,137.88599348534206
1607014817.0577,-11.029315960912058,251.88599348534206
1607014818.0475,-12.029315960912058,201.88599348534206
1607014819.0897,-12.029315960912058,207.88599348534206
1607014820.2118,-12.029315960912058,103.88599348534206
1607014821.0479,-12.029315960912058,44.885993485342055
1607014822.0377,-11.029315960912058,27.885993485342055
1607014823.0574,-11.029315960912058,25.885993485342055
1607014824.0775,-10.029315960912058,21.885993485342055
1607014825.1764,-9.029315960912058,55.885993485342055
1607014826.0575,-8.029315960912058,41.885993485342055
1607014827.0475,-8.029315960912058,83.88599348534206
1607014828.0674,-8.029315960912058,58.885993485342055
1607014829.1376,-8.029315960912058,79.88599348534206
1607014830.0475,-7.029315960912058,47.885993485342055
1607014831.0374,-7.029315960912058,2.8859934853420555
1607014832.1175,-7.029315960912058,-32.114006514657945
1607014833.0773,-5.029315960912058,-88.11400651465794
1607014834.2053,-4.029315960912058,11.885993485342055
1607014835.0574,-3.029315960912058,-6.1140065146579445
1607014836.0472,-3.029315960912058,26.885993485342055
1607014837.0372,-3.029315960912058,47.885993485342055
1607014838.1978,-3.029315960912058,16.885993485342055
1607014839.0477,-3.029315960912058,28.885993485342055
1607014840.0374,-3.029315960912058,31.885993485342055
1607014841.1172,-3.029315960912058,-10.114006514657945
1607014842.0485,-2.029315960912058,7.8859934853420555
1607014843.1781,-2.029315960912058,29.885993485342055
1607014844.0573,-2.029315960912058,44.885993485342055
1607014845.0472,-2.029315960912058,64.88599348534206
1607014846.0371,-3.029315960912058,89.88599348534206
1607014847.0811,-3.029315960912058,52.885993485342055
1607014848.0476,-3.029315960912058,-192.11400651465794
1607014849.0375,-1.029315960912058,-124.11400651465794
1607014850.0871,-0.029315960912057903,-3.1140065146579445
1607014851.0471,0.9706840390879421,41.885993485342055
1607014852.1185,0.9706840390879421,23.885993485342055
1607014853.0573,-0.029315960912057903,49.885993485342055
1607014854.0772,-0.029315960912057903,66.88599348534206
1607014855.0372,-1.029315960912058,65.88599348534206
1607014856.0787,-2.029315960912058,49.885993485342055
1607014857.0474,-2.029315960912058,73.88599348534206
1607014858.0373,-2.029315960912058,75.88599348534206
1607014859.0571,-3.029315960912058,28.885993485342055
1607014860.0472,-3.029315960912058,44.885993485342055
1607014861.1163,-3.029315960912058,36.885993485342055
1607014862.0576,-3.029315960912058,12.885993485342055
1607014863.0473,-3.029315960912058,20.885993485342055
1607014864.0371,-3.029315960912058,7.8859934853420555
1607014865.0871,-3.029315960912058,35.885993485342055
1607014866.2186,-3.029315960912058,37.885993485342055
1607014867.0675,-3.029315960912058,42.885993485342055
1607014868.0572,-3.029315960912058,26.885993485342055
1607014869.047,-3.029315960912058,-20.114006514657945
1607014870.0867,-3.029315960912058,-67.11400651465794
1607014871.0574,-2.029315960912058,15.885993485342055
1607014872.0474,-2.029315960912058,29.885993485342055
1607014873.037,-2.029315960912058,78.88599348534206
1607014874.0869,-3.029315960912058,143.88599348534206
1607014875.1264,-3.029315960912058,82.88599348534206
1607014876.0374,-4.029315960912058,84.88599348534206
1607014877.0572,-4.029315960912058,60.885993485342055
1607014878.0469,-4.029315960912058,89.88599348534206
